Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
26	NCT02204943	Pharmacodynamic Study of Radium-223 in Men With Bone Metastatic Castration-Resistant Prostate Cancer		Completed	No Results Available	Bone Metastatic Castration-Resistant Prostate Cancer	Device: Biomarker analysis|Drug: Administration of radium-223	Proportion of patients who overexpress alkaline phosphatase (ALP) in Circulating Tumor Cells (CTCs) at each time point|Change in biomarkers of epithelial plasticity and osteomimicry expressed in the bone metastases of men with bone metastatic CRPC	Duke University|Bayer	Male	18 Years and older   (Adult, Older Adult)	Early Phase 1	20	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	Pro00053925	May 6, 2015	July 31, 2017	July 31, 2017	July 31, 2014		June 8, 2018	Duke University Medical Center, Durham, North Carolina, United States		https://ClinicalTrials.gov/show/NCT02204943
27	NCT00331630	Abraxane and Lapatinib in Treating Patients With Stage I, Stage II, or Stage III Breast Cancer		Active, not recruiting	No Results Available	Breast Cancer	Drug: lapatinib ditosylate|Drug: paclitaxel albumin-stabilized nanoparticle formulation	Clinical response rate as measured by clinical exam and imaging studies|Pathologic complete response rate|Correlation of proliferation (Ki67) with tumor response as measured at baseline and after completion of study treatment|Correlation of apoptosis (cleaved caspase-3) with tumor response as measured at baseline and after completion of study treatment|Correlation of angiogenesis (vW, CD34) markers with tumor response as measured at baseline and after completion of study treatment|Correlation of other studies with tumor response, including epidermal growth factor receptor (EGFR), HER2/neu, matrix metalloproteinases (MMPs), and transforming growth factor (TGF-β) as measured at baseline and after completion of study treatment|Side effects from the combination of Abraxane and Lapatinib|Circulating tumor cell measurement	Northwestern University|GlaxoSmithKline|Celgene Corporation	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	30	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NU 05B2|STU00007257	May 2006	August 2014	August 2021	May 31, 2006		May 3, 2019	Northwestern University, Northwestern Medical Faculty Foundation, Chicago, Illinois, United States|Hematology-Oncology Associates of Illinois, Chicago, Illinois, United States|Midwest Center for Hematology/Oncology, Joliet, Illinois, United States|Saint James Hospital and Health Centers Comprehensive Cancer Institute - Olympia Fields, Olympia Fields, Illinois, United States|Joe Arrington Cancer Research and Treatment Center, Lubbock, Texas, United States		https://ClinicalTrials.gov/show/NCT00331630
28	NCT03802604	Combination of Talimogene Laherparepvec With Atezolizumab in Early Breast Cancer	PROMETEO	Recruiting	No Results Available	Breast Cancer	Biological: Talimogene laherparepvec|Drug: Atezolizumab	Changes in the expression of a gene signature tracking activated CD8 T-cells.|Rate of pCRB (ypT0/Tis) and pCRBL (ypT0/TisypN0)|Tumor ORR|Rate of residual cancer burden (RCB)|Safety of T-VEC in combination with atezolizumab	SOLTI Breast Cancer Research Group|Amgen|Roche Pharma AG	Female	18 Years to 99 Years   (Adult, Older Adult)	Early Phase 1	30	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	SOLTI-1503	December 10, 2018	November 2020	November 2023	January 14, 2019		January 21, 2019	Hospital Universitari Vall d'Hebrón, Barcelona, Spain|Hospital Clínic de Barcelona, Barcelona, Spain|Centro Integral Oncológico Clara Campal, Madrid, Spain|Hospital Clínico universitario de Valencia, Valencia, Spain		https://ClinicalTrials.gov/show/NCT03802604
29	NCT00140556	Angiogenic and EGFR Blockade With Curative Chemoradiation for Advanced Head and Neck Cancer		Completed	Has Results	Head and Neck Cancer|Pharynx Cancer	Radiation: Chemoradiotherapy|Drug: Cisplatin|Drug: Bevacizumab|Drug: Erlotinib	Tumor Resolution|Local Regional Control|Failure Free Survival	David M. Brizel, MD|Genentech, Inc.|OSI Pharmaceuticals|Duke University	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	28	Other|Industry	Interventional	Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Pro00008840|7077	August 2005	May 2009	April 2010	September 1, 2005	August 31, 2011	January 18, 2013	Department of Radiation Oncology; Duke University Medical Center, Durham, North Carolina, United States		https://ClinicalTrials.gov/show/NCT00140556
30	NCT03085056	Trametinib in Combination With Paclitaxel in the Treatment of Anaplastic Thyroid Cancer		Recruiting	No Results Available	Anaplastic Thyroid Cancer	Drug: Trametinib|Drug: Paclitaxel	Progression-Free Survival (PFS)	Memorial Sloan Kettering Cancer Center|Novartis	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	12	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	15-055	March 15, 2017	September 2020	September 2020	March 21, 2017		May 6, 2019	Memorial Sloan Kettering Cancer Center, New York, New York, United States		https://ClinicalTrials.gov/show/NCT03085056
31	NCT03215095	RAI Plus Immunotherapy for Recurrent/Metastatic Thyroid Cancers		Recruiting	No Results Available	Thyroid Cancer	Drug: Durvalumab (Medi4736)|Radiation: Radioiodine (RAI)	number of patients with Dose-Limiting Toxicity (DLTs)|Best Overall Response	Memorial Sloan Kettering Cancer Center|AstraZeneca|MedImmune LLC	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	11	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	17-218	July 10, 2017	July 2020	July 2020	July 12, 2017		August 7, 2019	Memoral Sloan Kettering Basking Ridge, Basking Ridge, New Jersey, United States|Memoral Sloan Kettering Monmouth, Middletown, New Jersey, United States|Memorial Sloan Kettering Bergen, Montvale, New Jersey, United States|Memorial Sloan Kettering Commack, Commack, New York, United States|Memorial Sloan Kettering Westchester, Harrison, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Memorial Sloan Kettering Nassau, Uniondale, New York, United States		https://ClinicalTrials.gov/show/NCT03215095
32	NCT03815630	A Study of PD1 Combined With Dc-cik in the Treatment of Solid Tumors	DC-CIK	Not yet recruiting	No Results Available	Solid Tumor	Drug: pd-1 and dc-cik cells	occurrence of treatment related adverse events	Allife Medical Science and Technology Co., Ltd.|The First People's Hospital of Yunnan Province/First People's Hospital of Yunan Provinve New Kunhua Hospital|Henan Provincial Hospital|Beijing Hospital	All	18 Years to 60 Years   (Adult)	Early Phase 1	100	Industry|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	PD-1/DC CIK-YNYY-01	February 1, 2019	February 1, 2020	February 1, 2021	January 24, 2019		January 30, 2019			https://ClinicalTrials.gov/show/NCT03815630
33	NCT03815084	A Study of PD1 Combined With DC-NK Cell in the Treatment of Solid Tumors		Not yet recruiting	No Results Available	Solid Tumor	Drug: pd-1 and DC-NK cells	occurrence of treatment related adverse events	Allife Medical Science and Technology Co., Ltd.|The First People's Hospital of Yunan Province/First People's Hospital of Yunan Provinve New Kunhua Hospital|Henan Provincial Hospital|Beijing Hospital	All	18 Years to 60 Years   (Adult)	Early Phase 1	100	Industry|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	PD-1/DC-NK YNYY-01	February 1, 2019	February 1, 2020	February 1, 2021	January 24, 2019		January 30, 2019			https://ClinicalTrials.gov/show/NCT03815084
34	NCT00606424	An Exploratory, Open Label, Single Center Study of [F-18]HX4	HX4	Completed	No Results Available	Head and Neck Cancer	Drug: 20 mCi dose for a 50 kg individual of [F-18]HX4	Safety will be the outcome demonstrated in this clinical trial through analyses of adverse events in subjects who receive study drug.	Siemens Molecular Imaging	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	10	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)	DHX4000	January 2008	January 2009	January 2009	February 4, 2008		February 2, 2009	Michael Yu, MD, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT00606424
35	NCT01189643	Irinotecan, Temozolomide and Bevacizumab in Combination With Existing High Dose Alkylator Based Chemotherapy for Treatment of Newly Diagnosed Patients With Desmoplastic Small Round Cell Tumor		Active, not recruiting	No Results Available	Sarcoma|Desmoplastic Small Round Cell Tumor (DSRCT)	Drug: irinotecan, temozolomide, and bevacizumab incorporated into an existing schedule of high dose alkylator	To define the tolerability|To define adverse event profile|To estimate the response rate of two cycles of irinotecan, temozolomide and bevacizumab|To estimate survival|To estimate time to progression|To assess use of 18FDG PET-CT	Memorial Sloan Kettering Cancer Center|Genentech, Inc.	All	1 Year to 29 Years   (Child, Adult)	Early Phase 1	15	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	10-091	August 2010	August 2019	August 2019	August 26, 2010		September 5, 2018	Memorial Sloan Kettering Cancer Center, New York, New York, United States		https://ClinicalTrials.gov/show/NCT01189643
36	NCT03691311	Biomarker Study of the Antitumoral Activity of Denosumab in the Pre- Operative Setting of Early Breast Cancer	D-BIOMARK	Recruiting	No Results Available	Breast Neoplasm Female|Stage I Breast Cancer|Stage II Breast Cancer|Hormone Receptor Negative Neoplasm|Hormone Receptor Positive Tumor	Drug: Denosumab 120 MG/1.7 ML Subcutaneous Solution [XGEVA]	Antiproliferative and/or pro-apoptotic activity of denosumab|Correlation between antiproliferative activity of denosumab and Rank/RankL expression|Differential antiproliferative activity of denosumab among the different phenotypes of breast cancers.|Differential antiproliferative activity of denosumab among pre and post menopausal patients|Safety of denosumab and biopsy procedures in terms of Frequency of adverse events (CTCAE V4.)	Institut Català d'Oncologia|Amgen	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	60	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ICO 13-001|2016-002678-11|20119112	July 5, 2018	July 5, 2020	February 5, 2021	October 1, 2018		August 7, 2019	Institut Català d'Oncologia - L'Hospitalet, L'Hospitalet De Llobregat, Barcelona, Spain		https://ClinicalTrials.gov/show/NCT03691311
37	NCT03433898	This Study Aims to Find a Safe and Effective Dose of BI 754091. The Study Also Aims to Find Safe and Effective Doses of BI 754091 and BI 754111 in Combination. This Study is Done in Asian Patients With Different Types of Cancer		Recruiting	No Results Available	Neoplasms	Drug: BI 754091|Drug: BI 754111	Part I: Maximum tolerated dose (MTD) of BI 754091|Part I: Number of patients experiencing dose limiting toxicities (DLTs) during the MTD evaluation period (first cycle of treatment)|Part II: MTD of the BI 754091 plus BI 754111 combination|Part II: Number of patients experiencing DLTs during the MTD evaluation period (first cycle of treatment)|Part III: Objective response (OR) - confirmed complete response (CR) or partial response (PR) according to response evaluation criteria in solid tumours (RECIST) Version 1.1 as assessed by the Investigator|Part I: Cmax: maximum measured concentration of BI 754091 in plasma|Part I: AUC0-504: area under the concentration-time curve of BI 754091 in plasma|Part II: Cmax: maximum measured concentration of BI 754091 and BI 754111 in plasma|Part II: AUC0-504: area under the concentration-time curve of BI 754091 and BI 754111 in plasma|Part III: Duration of response|Part III: Disease control|Part I - Objective response (OR)|Part II - Objective response (OR)	Boehringer Ingelheim	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	164	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	1381-0004	February 23, 2018	April 18, 2021	April 18, 2021	February 15, 2018		August 7, 2019	Kanagawa Cancer Center, Kanagawa, Yokohama, Japan|Saitama Cancer Center, Saitama, Kitaadachi-gun, Japan|Shizuoka Cancer Center, Shizuoka, Sunto-gun, Japan|National Cancer Center Hospital, Tokyo, Chuo-ku, Japan|Jananese Foundation for Cancer Research, Tokyo, Koto-ku, Japan|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of		https://ClinicalTrials.gov/show/NCT03433898
38	NCT03143270	A Study to Test the Safety and Feasibility of Nivolumab With Drug Eluting Bead Transarterial Chemoembolization in Patients With Liver Cancer		Recruiting	No Results Available	Liver Cancer	Drug: Drug Eluting Bead Transarterial Chemoembolization|Drug: Nivolumab	Number of participants with treatment-related adverse events as assessed by CTCAE v4.0	Memorial Sloan Kettering Cancer Center|Bristol-Myers Squibb	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	14	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	17-087	April 28, 2017	April 2020	April 2020	May 8, 2017		April 24, 2019	Mayo Clinic Cancer Center, Rochester, Minnesota, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Abramson Cancer Center at University of Pennsylvania Medical Center, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT03143270
39	NCT02728830	A Study of Pembrolizumab on the Tumoral Immunoprofile of Gynecologic Cancers		Active, not recruiting	No Results Available	Gynecologic Neoplasms|Epithelial Ovarian Cancer|Uterine Endometrial Cancer|Fallopian Tube Cancer|Peritoneal Cancer	Drug: Pembrolizumab	Fold change in tumor Immune Infiltrates|Toxicity Profile: Frequency and severity of adverse events as assessed by CTCAE	AA Secord|Merck Sharp & Dohme Corp.|Duke University	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	15	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Pro00068544	June 2016	November 2019	April 2020	April 5, 2016		May 27, 2019	Johns Hopkins Sidney Kimmel Comprehensive Cancer Center, Baltimore, Maryland, United States|Duke Cancer Institute, Durham, North Carolina, United States		https://ClinicalTrials.gov/show/NCT02728830
40	NCT03965546	ET 140202 -T Cell Combined With TAE or Sorafenib in the Treatment of Liver Cancer		Recruiting	No Results Available	Hepatocellular Carcinoma|Liver Cancer|Liver Neoplasms|Metastatic Liver Cancer	Combination Product: Sorafenib combined with ET140202-T cell|Combination Product: TAE combined with ET140202-T cell|Biological: ET140202-T cell	Frequency of ARTEMIS T cell treatment-related adverse events|Rate of disease response by RECIST in the liver|Rate of disease response by RECIST at non-liver sites|Progression free survival (PFS)|Median Survival（MS）|Overall survival（OS）|AFP serum levels|Number of ET140202-T cells in peripheral blood|Alpha-fetoprotein (AFP) expression in tumors|IL-6 serum levels|IL-2 serum levels|IL-10 serum levels|TNF-α serum levels|IFN-γ serum levels	First Affiliated Hospital Xi'an Jiaotong University|Eureka Therapeutics Inc.	All	18 Years to 75 Years   (Adult, Older Adult)	Early Phase 1	27	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2019（ZD13）	May 30, 2019	June 2021	June 2022	May 29, 2019		August 8, 2019	The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, China		https://ClinicalTrials.gov/show/NCT03965546
41	NCT03592121	Study to Investigate the Effect of AB-101 in Breast Cancer Survivors		Recruiting	No Results Available	Sexual Dysfunction|Sexual Arousal Disorder|Sexual Dysfunction, Physiological|Breast Cancer|Nipple Disorder|Neuropathy|Cancer of Breast	Drug: AB-101|Drug: Placebo	Delayed Orgasm|Vaginal Dryness	Applied Biology, Inc.	Female	18 Years to 70 Years   (Adult, Older Adult)	Early Phase 1	35	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	RJ-101-RCT-001	July 9, 2018	November 12, 2019	November 12, 2019	July 19, 2018		October 5, 2018	Southern CA Center for Sexual Health and Survivorship Medicine, Newport Beach, California, United States		https://ClinicalTrials.gov/show/NCT03592121
42	NCT03837821	(CLONEVO): Cell cycLe inhbitiON to Target the EVolution of UrOthelial Cancer	CLONEVO	Recruiting	No Results Available	Bladder Cancer	Drug: Abemaciclib	Change in cell-cycle dynamics between pre- and post-Abemaciclib tumor samples assessed by immunohistochemistry of tumor tissues, circulating tumor DNA (ctDNA)|Incidence of Treatment-Emergent Adverse Events (TEAEs) of Abemaciclib assessed by CTCAE 4.0|Effect on tumor downstaging defined as <pT2 at time of cystectomy	Weill Medical College of Cornell University|Eli Lilly and Company	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	20	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	1710018693	February 5, 2019	February 2021	February 2022	February 12, 2019		July 23, 2019	Weill Cornell Medicine, New York, New York, United States		https://ClinicalTrials.gov/show/NCT03837821
43	NCT03371992	Pilot Study of Nilogen 3D-EX and Its Ability to Predict Therapeutic Response to Anti-PD1 or Anti-PDL1 in NSCLC	NO3DEXPL	Enrolling by invitation	No Results Available	Non Small Cell Lung Cancer	Drug: Nivolumab|Diagnostic Test: 3D-EX|Other: Evaluation of Response by RECIST	Evaluation of target lesions by RECIST	Nilogen Oncosystems|Henry Ford Health System	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	25	Industry|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	NO88352235	March 9, 2018	December 2019	June 2020	December 13, 2017		March 13, 2019	Henry Ford Health Systems, Detroit, Michigan, United States		https://ClinicalTrials.gov/show/NCT03371992
44	NCT03890198	A Phase 1 Study of LCAR-C182A/LCAR-C182B/LCAR-C182C Cells,a Chimeric Antigen Receptor T-cell (CAR-T)		Recruiting	No Results Available	Gastric Cancer|Pancreatic Ductal Adenocarcinoma	Biological: LCAR-C182A/LCAR-C182B/LCAR-C182C cells	Number of Participants With Adverse Events|Transgene Levels of LCAR-C82 CAR-T Cells|Chimeric Antigen Receptor T (CAR-T) Positive Cell Concentration|Systemic Cytokine Concentrations|Overall Response Rate (ORR)|Duration of Overall Response(DOR)|progression-free survival(PFS)|Overall Survival (OS)	First Affiliated Hospital Xi'an Jiaotong University|Nanjing Legend Biotech Co.	All	18 Years to 75 Years   (Adult, Older Adult)	Early Phase 1	18	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MO-GPC01	April 22, 2019	March 31, 2023	December 31, 2023	March 26, 2019		May 7, 2019	The First Affiliated Hospital of Xian Jiaotong University, Xi'an, Shanxi, China		https://ClinicalTrials.gov/show/NCT03890198
45	NCT00360152	Testing of Different Methods for Determining Whether Breast Cancer Has Spread to the Lymph Nodes		Completed	No Results Available	Breast Neoplasms	Procedure: Fine needle aspiration biopsy (FNAB)|Procedure: Sentinel Lymph Node Biopsy	Determine the sensitivity of AUS and real-time RT-PCR/RT-LAMP to predict the pathologic status of the axilla in breast cancer patients|Determine the feasibility of AUS, FNAB, and RT-PCR/RT-LAMP as an alternative to SLNB for axillary staging of breast cancer patients|Define baseline gene expression levels in lymph nodes by RT-PCR/RT-LAMP in patients with no evidence of malignancy undergoing procedures under general anesthesia	Washington University School of Medicine|Society for Surgical Oncologists|Sysmex America, Inc.	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	100	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	06-0530 / 201109077	August 2006	January 2009	April 2013	August 3, 2006		July 4, 2013	Washington University School of Medicine, St. Louis, Missouri, United States		https://ClinicalTrials.gov/show/NCT00360152
46	NCT03799913	MESO-CAR T Cells Therapy for Relapsed and Refractory Ovarian Cancer		Recruiting	No Results Available	Ovarian Cancer	Biological: anti-MESO CAR-T cells|Drug: Fludarabine|Drug: Cyclophosphamide	Safety measured by occurrence of study related adverse effects defined by NCI CTCAE 4.0|Overall complete remission rate defined by the standard response criteria for malignant lymphoma for each arm|Progress Free Survival (PFS) after administration|Duration of CAR-positive T cells in circulation|Detection of PD1 antibody in serum	Zhejiang University|Second Affiliated Hospital, School of Medicine, Zhejiang University|Hrain Biotechnology Co., Ltd.	Female	18 Years to 70 Years   (Adult, Older Adult)	Early Phase 1	20	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MESO	April 10, 2019	October 2021	April 2022	January 10, 2019		April 10, 2019	The Second Affiliated hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang, China		https://ClinicalTrials.gov/show/NCT03799913
47	NCT03795779	CLL1-CD33 cCAR in Patients With Relapsed and/or Refractory, High Risk Hematologic Malignancies		Recruiting	No Results Available	Hematologic Malignancy|Acute Myeloid Leukemia|Myelodysplastic Syndromes|Myeloproliferative Neoplasm|Chronic Myeloid Leukemia	Biological: CLL1-CD33 cCAR T cells	Number of participants with dose limiting toxicity (DLT) as assessed by the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 5.0|Type of dose-limiting toxicity (DLT)|Number of participants with adverse event by severity as assessed by the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 5.0|Overall Response Rate (ORR)|Progression-free survival (PFS)|Overall survival	iCell Gene Therapeutics|The General Hospital of Western Theater Command|iCAR Bio Therapeutics Ltd	All	Child, Adult, Older Adult	Early Phase 1	20	Industry|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ICG141-001	March 1, 2018	September 30, 2020	September 30, 2020	January 8, 2019		May 9, 2019	The General Hospital of Western Theater Command, Chengdu, China|Peking University Shenzhen Hospital, Shenzhen, China		https://ClinicalTrials.gov/show/NCT03795779
48	NCT00583063	Interaction Study of Rapamycin and Sunitinib in Patients With Advanced Cancers		Completed	No Results Available	Solid Tumors	Drug: sunitinib|Drug: rapamycin	Pharmacokinetic interactions|Toxicity of the combined drug regimen|Response to drug regimen	University of Chicago|Pfizer	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	23	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	15328B	October 2007	April 2008	April 2008	December 31, 2007		June 12, 2013	University of Chicago, Chicago, Illinois, United States		https://ClinicalTrials.gov/show/NCT00583063
49	NCT03863145	Study to Evaluate Maximum Tolerated Dose of Oral CB-03-10 With Dose Expansion Phase, in Advanced Solid Tumors		Not yet recruiting	No Results Available	Advanced Refractory Solid Tumors|Subjects Considered Likely to Respond to CB-03-10	Drug: CB-03-10	Determine the maximum tolerated dose|Determine the dose-limiting toxicity|Determine a recommended Phase 2 dose (RP2D) of CB-03-10|Number of participants with treatment-related adverse events as assessed by CTCAE v5.0|Evaluate the activity response rate|Cmax of CB-03-10|AUC of CB-03-10|Cmax of CB-03-10 metabolite CB-03-05|AUC of CB-03-10 metabolite CB-03-05|Evaluate the activity overall survival [OS]|Evaluate the activity progression-free survival [PFS]	Cosmo Technologies Ltd	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	90	Industry	Interventional	Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CB-03-10/01	July 2019	November 2019	December 2019	March 5, 2019		March 5, 2019			https://ClinicalTrials.gov/show/NCT03863145
50	NCT02338037	Neuropharmacokinetics of Eribulin Mesylate in Treating Patients With Primary or Metastatic Brain Tumors		Active, not recruiting	No Results Available	Metastatic Malignant Neoplasm in the Adult Brain|Primary Brain Tumor	Procedure: Therapeutic Conventional Surgery|Procedure: Biopsy|Drug: Eribulin Mesylate|Procedure: Microdialysis|Other: Pharmacological Study	Time of maximum concentration observed (Tmax) for eribulin mesylate|Maximum concentration observed (Cmax) for eribulin mesylate|Area under the curve (AUC) for eribulin mesylate|Half-life (t1/2) for eribulin mesylate|Ratio of AUC of eribulin mesylate in dialysate to plasma|Toxicity profile of eribulin mesylate graded using the National Cancer Institute Common Terminology Criteria for Adverse Events version 4.0|Clinical benefit rate defined as tumor response on brain MRI results	City of Hope Medical Center|National Cancer Institute (NCI)|Eisai Inc.	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	8	Other|NIH|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	14312|NCI-2014-02391	May 19, 2015	September 2019	September 2019	January 14, 2015		October 9, 2018	City of Hope Medical Center, Duarte, California, United States		https://ClinicalTrials.gov/show/NCT02338037
51	NCT01875666	Defining the HER2 Positive (+) Breast Cancer Kinome Response to Trastuzumab, Pertuzumab, Combination Trastuzumab +Pertuzumab, or Combination Trastuzumab + Lapatinib		Active, not recruiting	No Results Available	Breast Neoplasms	Drug: Trastuzumab|Drug: pertuzumab|Drug: lapatinib	difference in kinome activation pre and post treatment|predictability in kinome activation	UNC Lineberger Comprehensive Cancer Center|Genentech, Inc.|Susan G. Komen Breast Cancer Foundation|GlaxoSmithKline	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	40	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	LCCC 1214	September 2013	December 2016	March 2019	June 12, 2013		November 2, 2018	University of Alabama at Birmingham, Birmingham, Alabama, United States|IU Simon Cancer Center, Indianapolis, Indiana, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Lineberger Comprehensive Cancer Center, UNC, Chapel Hill, North Carolina, United States|MD Anderson, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT01875666
52	NCT03162731	Nivolumab, Ipilimumab, and Radiation Therapy in Treating Patients With Stage III-IVB Head and Neck Cancer		Active, not recruiting	No Results Available	Larynx|Lip, Oral Cavity and Pharynx	Biological: Nivolumab|Biological: Ipilimumab|Radiation: Simultaneous-Integrated Boost Intensity-Modulated Radiation Therapy|Radiation: Volume Modulated Arc Therapy	Incidence of adverse events assessed using Common Terminology Criteria for Adverse Events version 4.03	Sidney Kimmel Cancer Center at Thomas Jefferson University|Bristol-Myers Squibb|Thomas Jefferson University	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	24	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	17P.082	May 11, 2017	November 2021	January 2022	May 22, 2017		August 2, 2019	Sidney Kimmel Cancer Center at Thomas Jefferson University, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT03162731
53	NCT00718770	A Pilot Clinical Trial for Poorly Differentiated Thyroid Cancer - Correlation to Retinoid and Peroxisome-proliferator-activated Receptor (PPARy) Expression		Completed	Has Results	Thyroid Cancer	Drug: Bexarotene	Change in Tumor Size	University of Colorado, Denver|American Cancer Society, Inc.|Eisai Inc.	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	10	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	07-0727.cc	November 2008	January 2013	February 2013	July 21, 2008	January 17, 2014	January 17, 2014	University of Colorado Cancer Center, Aurora, Colorado, United States		https://ClinicalTrials.gov/show/NCT00718770
54	NCT02172651	Study to Identify Transcriptional Targets of Vitamin D in Patients With Stage I-III Colon Cancer or Resectable Colon Cancer Liver Metastases Receiving Preoperative Vitamin D Supplementation.		Recruiting	No Results Available	Stage, Colon Cancer|Stage I-III Colon Cancer|Stage IV Colon Cancer With Resectable Liver Metastases	Drug: Vitamin D3	VDR Binding Sites|RNA transcriptome|Number of Participants with Serious and Non-Serious Adverse Events	Dana-Farber Cancer Institute|National Cancer Institute (NCI)|Pharmavite	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	12	Other|NIH|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	14-091|P50CA127003-06A1	July 2014	December 2019	May 2020	June 24, 2014		July 3, 2019	Dana-Farber Cancer Institute, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT02172651
