cleaned_up_drug	class_umls
JNJ-42756493	
JNJ-42756493	
JNJ-42756493	
JNJ-42756493	
JNJ-42756493	
APO010	
MEK162mFOLFIRI	
CGM097	
CGM097	
CGM097	
GDC-0980	
GDC-0980	
GDC-0980	
JNJ-74699157	
SM04755	
iNeo-Vac-P01	
Cabazitaxel	Tubulin Interactions|Microtubule Inhibitor|ANTINEOPLASTIC,OTHER|Taxanes
GDC-0980	
GDC-0980	
GDC-0980	
LErafAON	
BKM120	
BKM120	
CEP-37250/KHK2804	
MDV3100	
MDV3100	
MDV3100	
MDV3100	
DOXIL/CAELYXdoxorubicin	
DOXIL/CAELYXdoxorubicin	
PF-00337210	
PF-00337210	
PF-00337210	
NGR-hTNF	
ASP3026	
ASP3026	
ASP3026	
ASP3026	
RegorafenibStivargaBAY73-4506	
GLPG0187	
GLPG0187	
GLPG0187	
GLPG0187	
GLPG0187	
GLPG0187	
omacetaxinemepesuccinate	
EP2101	
EP2101	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
BGB-290	
BGB-290	
BGB-290	
INCAGN01876	
BMS-754807	
BMS-754807	
BMS-754807	
BMS-754807	
trastuzumabHerceptin®	
MEDI-551	
MEDI-551	
MEDI-551	
ACE-041	
BYL719	
BYL719	
BYL719	
BYL719	
TarcevaerlotinibOSI-774	
PG-11047	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
SCT-I10A	
ABBV-744	
ABBV-744	
ABBV-744	
FPA008	
biologic	
GS-5829	
IMC-RON8	
biologic	
Alpelisib	ANTINEOPLASTIC,OTHER
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
Liposomaldoxorubicin	
LEAC-102FOLFOXBevacizumab/Cetuximab	
IMC-A12	
IMC-A12	
IMC-A12	
TAS-102	
TAS-102	
TAS-102	
MPC-3100Hsp90inhibitor	
RX-3117	
RX-3117	
RX-3117	
RX-3117	
RX-3117	
RX-3117	
RX-3117	
RX-3117	
18F-AraG	
Carboplatin/etoposide	
IMC-A12	
IMC-A12	
IMC-A12	
AZD4547	
AZD4547	
AZD4547	
LCL161	
LCL161	
LCL161	
LCL161	
tisotumabvedotin	
XL147SAR245408	
OSI-027	
OSI-027	
MK-2206	
MK-2206	
MK-2206	
MK-2206	
MK-2206	
BKM120	
BKM120	
XL281	
XL281	
OBI-833/OBI-821	
PanitumumabTAS-102	
MEDI6383MEDI4736	
IVAC_W_bre1_uID	
IVAC_W_bre1_uID/IVAC_M_uID	
Eribulinmesylate	
Rucaparibcamsylate	
anti-cancer	
SHR7390	
IONIS-STAT3Rx	
BKM120	
BKM120	
PolyPEPI1018Vaccine	
lapatinibesomeprazole	
ziv-aflibercept	Other antineoplastic agents|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Inhibitors|OPHTHALMICS,OTHER|Vascular Endothelial Growth Factor Inhibitor|Antineovascularisation agents
SC-43	
BR55	
MSC-1	
PaclitaxelPTK787	
ARGX-110	
TisotumabVedotin	
AG-013736axitinib	
GSK2256098	
GSK2256098	
GSK2256098	
GSK2256098	
ziv-aflibercept	Other antineoplastic agents|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Inhibitors|OPHTHALMICS,OTHER|Vascular Endothelial Growth Factor Inhibitor|Antineovascularisation agents
ASP8374	
TQB3616	
FamitinibMalate	
MK-2206carboplatinpaclitaxel	
MK-2206docetaxel	
MK-2206erlotinib	
Chemotherapy	
CPI-613	
CPI-613	
CPI-613	
XL147SAR245408	
STA-5312	
STA-5312	
PF-06647020	
PF-06647020	
PF-06647020Avelumab	
NGR-hTNF	
AxitinibAG-013736	
CNTO	
IrosustatBN83495	
CNTO888+DOXIL®/Caelyx®doxorubicinliposome	
CNTO888gemcitabine	
CNTO888Paclitaxelcarboplatin	
CNTO888docetaxel	
BLS_ILS_E710c	
BLS_ILB_710c	
BLS_ILS_E710c	
MM-111	
MM-111	
MM-111	
ST1968	
INCAGN01949	
BAY1179470	
SHR1459	
Simmitecan	
Simmitecan	
Simmitecan	
5-fluorouracilLeucovorinCalcium	
PF-05212384PKI-587	
MGN1703	
MGN1703	
MGN1703	
CT7001	
CT7001	
CT7001	
CT7001	
CT7001fulvestrant	
LY3300054	
Prexasertib	
BIIB022	
BIIB022	
BIIB022	
BIIB022	
TKI258	
TKI258	
GemcitabineCisplatinGemcitabineCarboplatin	
PatupiloneOmeprazole	
PatupiloneMidalzolam	
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
X-82	
X-82	
IPI-504	
IPI-504	
SHR-1210Apatinib+Fluzoparib	
HDM201	
HDM201	
HDM201	
ancillary	
AZD5312	
FAZ053	
PDR001	
PDR001	
PDR001	
PDR001	
Sym004	
Sym004	
CKD-516	
CKD-516	
SNS-032	
SNS-032	
tumorpeptidevaccine	
BTP-114	
Cabazitaxel	Tubulin Interactions|Microtubule Inhibitor|ANTINEOPLASTIC,OTHER|Taxanes
Anti-AndrogenTherapy	
Hormone-ReleasingHormoneLHRH	
LGX818	
LGX818	
LGX818	
BYL719	
BYL719	
BYL719	
BYL719	
OMP-18R5	
GSK2256098	
GSK2256098	
GSK2256098	
GSK2256098	
ASP8374	
PR104	
PR104	
PR104	
OMP-59R5	
ridaforolimus	
ridaforolimus	
BOS172738	
DCVax-Direct	
TAK-700	
TAK-700	
Chiauranib	
RX-5902	
Trastuzumabnon-pegylatedliposomaldoxorubicin	
NGR-hTNF	
SHR-A1403	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Capivasertib	
Danvatirsen	
Oleclumab	
Ad5-SGE-REIC/Dkk3	
BEY1107	
TEW-7197	
TEW-7197	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
I-131-CLR1404	
Glumetinib	
Glumetinib	
Glumetinib	
MVT-1075	
MVT-5873	
ORIC-101	
Xtandi	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
BGJ398	
BGJ398	
BGJ398	
BGJ398	
PR-104	
PR-104	
PR-104	
RXC004	
SCT200	
PR-104	
PR-104	
PR-104	
gemcitabinehydrochloride	
Ulixertinib	
COM701	
COM701OpdivoNivolumab	
MEDI1191	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
AEE788	
AEE788	
GDC-0941	
GDC-0941	
XL147SAR245408	
XL765SAR245409	
letrozoleFemara	
BAY94-9343	
exatecanmesylate	
GSK2820151	
CHR-3996	
CHR-3996	
CHR-3996	
MEDI5395	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
RegorafenibStivargaBAY73-4506	
Escalation	
Anti-OX40Antibody	
TLR9SD-101	
Rexin-G	
AZD5363	
AZD5363	
AZD5363	
INCB081776	
ATI-1123docetaxel	
ME-143	
peptidevaccineGM-CSF	
Intraperitonealdocetaxel	
'SMT-NKallogeneic	
PembrolizumabKeytruda	
MEK162RAF265	
NeoTCR-P1therapy	
BAY86-9766+Gemcitabine	
CV787CG7870	
intravenousdocetaxelintraperitonealoxaliplatin	
intravenousoxaliplatinintraperitonealdocetaxel	
GPX-100	
GPX-100	
GPX-100	
GPX-100	
volasertib	
G1T48	
CM4307	
CM4307	
CM4307	
AG-013726	
AG-013736axitinib	
INCSHR01210	
Ricolinostat	
triapine	
triapine	
MORAb-009	
SEA-CD40monotherapy	
SEA-CD40monotherapy	
AZD4877	
AZD4877	
AZD4877	
TP-3654	
TP-3654	
TP-3654	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
salmonellaVNP20009	
Gemcitabine-ReleasingIntravesicalGemRIS/TAR-200	
NivolumabOpdivo	
AZD9496	
AZD9496	
AZD9496	
AZD9496	
gemcitabinesplit-dosecisplatinEverolimusRAD001	
Gemcitabine-ReleasingIntravesicalGemRIS/TAR-200	
SNS-314	
SNS-314	
SNS-314	
MK-1248	
Gemcitabine-ReleasingIntravesicalGemRIS/TAR-200	
RAD001AMG479	
DJ-927	
DJ-927	
DJ-927	
PM01183	
PM01183	
TG6002	
Flucytosine5-FCAncotil	
lurbinectedinPM01183	
G3139OblimersensodiumBcl-2antisenseoligonucleotide	
alpelisib	ANTINEOPLASTIC,OTHER
AVB-S6-500	
liposomaldoxorubicin	
NexavarSorafenibBAY43-9006	
SV-BR-1-GM	
InterferonInoculation	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
Abiraterone/Prednisone	
irinotecanhydrochloride	
KN035	
KN035	
TLC178	
BAY1834942	
MSC2156119J	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
CDX-0158KTN-0158	
OMP-59R5	
APX3330	
salmonellaVNP20009	
ceftriaxonesodium	
idronoxil	
NilotinibImatinib	
budesonide/formoterolfumaratedihydrate	
methylation	
genomichybridization	
microarray	
triapine	
triapine	
AT13387	
AT13387	
AT13387	
IMF-001	
ABT-700	
ABT-700	
sunitinibrapamycin	
TP-0184	
BAY1436032	
5-Fluorouracil5-FU	
lurbinectedinPM01183	
MSC2363318A	
MSC2363318A	
MSC2363318ATrastuzumab	
MSC2363318ATamoxifen	
TRC102	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
RecentinCediranib	
TAK-901	
TAK-901	
TAK-901	
Epacadostat	
INCB057643	
INCB059872	
anti-EGFRantibody	
VELCADEbortezomib	
SHR-1316	
darinaparsin	
darinaparsin	
RXDX-105	
LYC-55716	
SHR7390	
SHR-1210	
SHR3162	
CT-2106	
Folinic	
5-FUfluorouracil	
IBI308	
IBI308	
ALKS	
MPC-6827	
MPC-6827	
FOLFOX	
FOLFOX	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
IrinotecanCetuximab	
ABT-165	
ABBV-181	
ABBV-181	
GSK1120212BDMSO	
GSK1120212BDMSO	
forodesinehydrochloride	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
ME-344	
ME-344	
ME-344	
CP-4126	
RX-3117	
RX-3117	
RX-3117	
RX-3117	
RX-3117	
RX-3117	
RX-3117	
RX-3117	
TAS-116	
TAS-116	
TAS-116	
AG-120	
PTC596	
AV-203	
AMP-224	
AMP-224	
AMP-224	
Albumin-boundpaclitaxel	
Genexol-PM	
P16_37-63peptideMontanide®ISA-51	
P16_37-63peptideMontanide®ISA-51	
JNJ-63898081	
Relatlimab	
BMS-986213	
RBN-2397	
irinotecanhydrochloride	
leucovorincalcium	
Vectibix®panitumumab	
ONT-10	
Genz-64428228-day	
Genz-64428221-day	
palifermin	Keratinocyte Growth Factor Receptor Agonists|Mucocutaneous Epithelial Cell Growth Factor|Detoxifying agents for antineoplastic treatment|HORMONES/SYNTHETICS/MODIFIERS,OTHER
EMD525797	
SunitinibPemetrexedCisplatinCarboplatin	
ONT-10	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
BMX-001	
BMX-001	
BMX-001	
Blood-stageP.vivax	
SorafenibNexavarBAY43-9006	
LY2603618	
LY2603618	
NKTR-214	
RogaratinibBAY1163877	
CopanlisibBAY80-6946	
chemotherapy	
M6620	
RovalpituzumabTesirine	
ABBV-181	
ABBV-181	
Defactinib	
BMS-754807	
BMS-754807	
BMS-754807	
BMS-754807	
MGD019	
CT-322	
GSK923295	
GSK923295	
OTSGC-A24	
mg/kgPaclitaxelTrastuzumab	
mg/kgCapecitabineLapatinib	
mgkgPaclitaxelTrastuzumab	
mg/kgCapecitabineLapatinib	
43-9006	
HE3235	
HE3235	
HE3235	
XL147SAR245408	
vaccine	
autologoustumorvaccine	
leucovorincalcium	
AlphaMedix	
Regimen	
IMP321	
IMP321	
IMP321	
IMP321	
IMP321	
TRC253	
CK-301cosibelimab	
panHer	
FN-1501	
MEDI9090	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
INCAGN01876	
Epacadostat	
YS-0N-001	
Acalabrutinib	Kinase Inhibitor|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER
Acalabrutinib	Kinase Inhibitor|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER
LY3023414	
LY3023414	
LY3023414	
IT-141	
ZW49	
CUDC-101	
CUDC-101	
CUDC-101	
TP-1287	
EribulinMesylate	
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
STA-9090	
STA-9090	
Theliatinib	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Neoantigenvaccine	
CHR-2797tosedostat	
DurvalumabTremelimumabTherapy	
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
TRX-818	
SHR6390	
LetrozoleanastrozoleFulvestrant	
Anti-RANKLAntibody	
CGX1321	
ABTL0812	
ABTL0812	
ABTL0812	
ABTL0812	
AUY922	
AUY922	
AUY922	
AUY922	
AUY922	
ABBV-927	
ABBV-181	
ABBV-181	
PremetrexedAlimta	
veliparibABT-888	
OblimersenGenasense	
SB-743921	
SB-743921	
SB-743921	
SB-743921	
SB-743921	
TR1801-ADC	
AldoxorubicinHydrochloride	
ALT-803	
ALT-803	
ETBX-011	
ETBX-021	
ETBX-051	
ETBX-061	
GI-4000	
GI-4000	
GI-6207	
GI-6301	
haNK	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Rexin-G	
Ad/PNP	
MEDI5752	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
KTN3379	
LY2801653	
LY2801653	
LY2801653	
LY2801653	
INCAGN01876	
GSK3052230	
GSK3052230	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
IntermittentAZD5363	
DSP-0337	
CYC065	
CYC065	
CYC065	
CYC065	
CombretastatinCA4P	
BevacizumabAvastin	
prednisone/prednisolonedexamethasone	
durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
AZD8931	
AZD8931	
ABBV-428	
SYD985trastuzumabvc-seco-DUBA	
Omacetaxine	Protein Synthesis Inhibitors
MK-7684	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
ISA101/ISA101b	
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
PF-04449913	
PF-04449913	
PF-04449913	
ZN-c5	
SGT-53	
SHR6390	
sulfatinib	
AZD8055	
AZD8055	
AZD8055	
AZD8055	
ARRY-382cFMSinhibitor	
OMP-21M18	
OMP-21M18	
CV9103	
Galunisertib	
GDC-0032	
GDC-0032	
SM-88	
MK-4830	
BKM120	
BKM120	
Modufolin	
ZW25	
BMS-986016	
Galunisertib	
LY3405105	
BMS-813160	
5-fluorouracil5-FU	
DSP-0509	
GDC-0941	
GDC-0941	
PRN1371	
PRN1371	
PRN1371	
INO-3112	
BZL101	
CEP-9722	
CEP-9722	
CEP-9722	
CEP-9722	
CEP-9722	
MK-0482	
lurbinectedinPM01183	
IMMU-107hPAM4	
CPI-444	
CPI-444atezolizumab	
liposomaldoxorubicin	
LCL161	
LCL161	
LCL161	
LCL161	
6R-MTHFmg/m2	
Levoleucovorinmg/m2	
6R-MTHFmg/m2	
Levoleucovorinmg/m2	
I-131-CLR1404	
CMB305	
G100	
Metronomic	
GSK1363089XL880	
LY3415244	
ICP-105	
Cetuximaberbitux®	
Fruquintinib	
Fruquintinib	
Fruquintinib	
TAS-102	
TAS-102	
TAS-102	
thioureidobutyronitrile	
SPL-108	
LY3200882	
LY3300054	
F-AraG	
Volitinib	
AO-176	
MIW815	
PDR001	
PDR001	
PDR001	
PDR001	
OMP-52M51	
OMP-52M51	
OMP-52M51	
Radium-223Xofigo®BAY88-8223	
ICP-192	
PembrolizumabPre-Resection	
PembrolizumabPost-Resection	
TTX-030	
AZD5363paclitaxel	
AZD5363whenpaclitaxel	
RO6874813	
SNX-5422MesylateHsp90inhibitor	
SB-715992	
SB-715992	
Atezolizumab1200	
SacituzumabGovitecan	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
NOV1601CHC2014	
LOAd703	
MP0274	
ARRY-334543EGFR/ErbB2inhibitor	
Docetaxelmitoticinhibitorintravenous	
subcutaneous	
VolitinibHMPL-504	
INC280	
INC280	
INC280	
INC280	
INC280	
Orteronel	
RiMO-301	
enfortumabvedotin	
RovalpituzumabtesirineSC16LD6.5	
ARRY-334543EGFR/ErbB2inhibitor	
E7389-LF	
TAS-102	
TAS-102	
TAS-102	
LZM009anti-PD-1antibody	
CC-90011	
RM-1929	
BMS-833923XL139	
DTA-H19	
perifosine	
perifosine	
Xentuzumab	
Xentuzumab	
Xentuzumab	
Xentuzumab	
Xentuzumab	
Xentuzumab	
NLG802	
NKTR-214	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
TRC105	
ARRY-334543EGFR/ErbB2inhibitor	
Capecitabine5-fluorouracilprodrug	
Emactuzumab	
RO7009789	
DLYE5953A	
SAR439859	
INVAC-1	
PazopanibGW786034	
pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
MGCD265	
MGCD265	
MGCD265	
MGCD265	
MGCD265	
MK-4280	
LeucovorinCalciumFolinate	
Fluorouracil5-FU	
MK-4280A	
CPI-100	
HB002.1T	
VT1021	
JNJ-63723283	
Erdafitinib	ANTINEOPLASTIC,OTHER
Erdafitinib	ANTINEOPLASTIC,OTHER
BAY1163877	
SHR-1603	
Imatinibmesilate	
PTX-100	
BIBW	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
BIBW	
mg/kgOnartuzumabMetMAb	
mg/kgOnartuzumabMetMAb	
mg/kgOnartuzumabMetMAb	
MEDI0562	
MEDI0562	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
AtezolizumabMPDL3280Aanti-programmeddeath-ligandPD-L1antibody	
Ipatasertib	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
DV281	
DV281RP2D	
Anti-PD-1Inhibitor	
intravenous	
Oraxol	
Blood-stageP.vivax	
RO7121661	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
HL-085	
ALT-803	
ALT-803	
MOXR0916	
D07001-softgel	
GL-ONC1	
Oraxol	
matuzumab	
matuzumab	
CS1003	
MT110	
BAY1082439	
AtezolizumabMPDL3280Aanti-programmeddeath-ligandPD-L1antibody	
MOXR0916humanizedanti-OX40antibody	
ZSTK474	
ZSTK474	
ZSTK474	
ZSTK474	
XmAb®23104	
MEHD7945A	
MEHD7945A	
MEHD7945A	
MEHD7945A	
BMS-690514	
BMS-690514	
BMS-690514	
14C-LabeledVemurafenib	
PS-341Bortezomib	
prexasertib	
ralimetinib	
Dabigatranetexilate	
BAY1841788darolutamide	
ARQ197	
OBP-801	
WXFL10030390	
Mitomycin	ANTINEOPLASTIC ANTIBIOTICS|ANTIGLAUCOMA,OTHER|Other cytotoxic antibiotics|Alkylating Activity|Nucleic Acid Synthesis Inhibitors|Alkylating Drug
Chemophase	
BEZ235Paclitaxel	
RO5458640	
OXi4503	
OXi4503	
OXi4503	
OXi4503	
OXi4503	
enadenotucirev	
EM-1421	
EM-1421	
LPM3480226	
pamiparib	
pamiparib	
pamiparib	
pamiparib	
pamiparib	
pamiparib	
IPN60090	
PS101Ultraescalation	
PS101Ultra	
Kanitinib	
ERY974	
Zr-BI	
Trilaciclib	
14C-labeledpoziotinib	
SB-715992	
SB-715992	
IM19CAR-T	
CO-1.01mg/mL	
CO-1.01mg/mL	
AZD1775	
hPV19	
MM-151	
MM-151irinotecan	
CCT301-59	
ABBV-321	
peptidevaccineGM-CSF	
CS1001	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
CS-7017	
CS-7017	
CS-7017	
AT13387	
AT13387	
AT13387	
Volasertibd1q3w	
Volasertibd1q3w	
Volasertibd1q3w	
KN046	
LY3381916	
LY3300054	
VinorelbineTartrate	
BevacizumabbiosimilarBEVZ92	
Avastin®bevacizumab	
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
ZSTK474	
ZSTK474	
ZSTK474	
ZSTK474	
PQR309	
PQR309	
BMS-754807	
BMS-754807	
BMS-754807	
BMS-754807	
Myocet	
GDC-0919	
Vaccine	
HLX22	
volasertib	
CX-3543	
BIBW	
Vinorelbinemg/m²	
Vinorelbinemg/m²	
Vinorelbinemg/m²	
Hemay020	
AGEN2034	
AGEN2034	
BMS-906024	
BMS-906024	
BMS-906024	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
RO5045337	
RO5045337	
RO5045337	
RO7198457	
LY3127804	
Epitinib	
AZD2014	
AZD2014	
AZD2014	
AZD2014	
HC-1119	
TQB2450	
Anlotinib	
Anlotinib	
Anlotinib	
FF21101	
BTRC4017A	
ARRY-142886inhibitor	
CopanlisibBAY80-6946	
AsiDNA	
HuMax-IL8	
RO5503781	
RO5503781	
RO5503781	
cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
