Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
255	NCT02608281	Evaluation of Diagnostic Accuracy of Contrast Enhanced Dual Energy Mammography Imaging in Comparison to CE-MRI	CEDEM	Completed	No Results Available	Breast Cancer Diagnosis	Device: CONTRAST ENHANCED DUAL ENERGY (CEDEM)	Diagnostic accuracy of contrast enhanced dual energy mammography for breast cancer diagnosis|sensitivity, specificity and the lesion-level ROC area.	Siemens Healthcare QT|Medical University of Vienna	Female	21 Years and older   (Adult, Older Adult)	Not Applicable	110	Industry|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	C00215154	November 2015	August 1, 2017	August 1, 2017	November 18, 2015		August 11, 2017	Allgemeines Krankenhaus Wien, Wien, Austria		https://ClinicalTrials.gov/show/NCT02608281
256	NCT01269645	Facts and Attitudes About Clinical Trials	FACT	Completed	No Results Available	Cancer|Neoplasm	Behavioral: Clinical Trial educational materials	Change from baseline to follow-up in attitudes towards clinical trial participation|Impact of information on knowledge, self-efficacy, receptivity, and likelihood of participating|Impact of information on participation in clinical trials	H. Lee Moffitt Cancer Center and Research Institute|Pfizer	All	18 Years and older   (Adult, Older Adult)	Not Applicable	471	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	MCC-15820	July 2009	September 2011	July 2014	January 4, 2011		June 8, 2016	Hartford Hospital, Hartford, Connecticut, United States|University of Florida, Gainesville, Gainesville, Florida, United States|Center for Cancer Care & Research/Watson, Lakeland, Florida, United States|Ocala Oncology Center, Ocala, Florida, United States|H. Lee Moffitt Cancer Center & Research Institute, Tampa, Florida, United States|Space Coast Medical Associates, Titusville, Florida, United States|Billings Clinic, Billings, Montana, United States		https://ClinicalTrials.gov/show/NCT01269645
257	NCT03995667	Tumor Treating Fields (TTFields) Therapy to Manage Brain Metastases in Small Cell Lung Cancer		Not yet recruiting	No Results Available	Small Cell Lung Cancer|Brain Metastases	Device: Optune®-Tumor Treating Fields (TTFields)	Incidence of Small Cell Lung Cancer (SCLC) brain metastases at 6 months|Incidence of SCLC brain metastases at 12 months|Overall survival|Incidence of TTfield related adverse events|Incidence of cognitive Adverse Events (AEs) using Mini Mental State Exam (MMSE)|Change in quality of life over time: EORTC QLQ-C30	OHSU Knight Cancer Institute|Oregon Health and Science University|NovoCure Ltd.	All	22 Years and older   (Adult, Older Adult)	Not Applicable	106	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	STUDY00018029	June 20, 2019	June 20, 2021	December 31, 2022	June 24, 2019		June 24, 2019	OHSU Knight Cancer Institute, Portland, Oregon, United States|University of Washington, Seattle, Washington, United States		https://ClinicalTrials.gov/show/NCT03995667
258	NCT01384838	Exercise Training in Postmenopausal Patients With Breast Cancer		Completed	No Results Available	Physical Activity	Behavioral: Counseling|Behavioral: physical activity	Individual maximum power output in watt (Pmax) on a bicycle ergometer after 6 months of controlled or unobserved physical activity.|Determination of feasibility of achieving 12 MET/week (metabolic units) on an outpatient basis|Evaluation of the influence of controlled/observed physical activity versus lifestyle counseling only on Fitness level, Quality of Life, rate of infections, weight, body mass index BMI, Body fat percentage	Arbeitsgemeinschaft medikamentoese Tumortherapie|Roche Pharma AG	Female	Child, Adult, Older Adult	Not Applicable	80	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	AGMT_BC_Sports	June 2011	December 2014	April 2015	June 29, 2011		June 4, 2015	Universitätsklinik für Innere Medizin III mit Hämatologie, internistischer Onkologie, Infektologie, Rheumatologie und Onkologisches Zentrum, Salzburg, Austria		https://ClinicalTrials.gov/show/NCT01384838
259	NCT01648010	Safety and Tolerability Study Which Evaluate Intravesical Instillation With Mitomycin C Mixed With TC-3 Drug Retaining Hydrogel Device In Patients With Muscle Invasive Bladder Cancer		Completed	No Results Available	Carcinoma of Urinary Bladder, Invasive	Device: TC-3 gel|Device: TC-3 gel mixed with Mitomycin C (MMC)	Assessment of systemic and urine pharmacokinetics of MMC following intravesical instillation of TC-3 mixed with MMC for safety evaluation.|Assessment of the levels of MMC in patients urinary bladder following intravesical instillation of TC-3 mixed with MMC.	UroGen Pharma Ltd.	All	45 Years and older   (Adult, Older Adult)	Not Applicable	7	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)	TAS-4M-PR-H-127-1|HTA 5972	November 2011	May 2013	May 2013	July 24, 2012		May 7, 2013	Barzilai Hospital, Ashkelon, Israel|Wolfson, Holon, Israel|Beilinson, Petah-Tikva, Israel		https://ClinicalTrials.gov/show/NCT01648010
260	NCT03717142	Feasibility of the LUM Imaging System for Detection of Cancer to the Brain		Recruiting	No Results Available	Low Grade Glioma of Brain|Glioblastoma|Metastasis to Brain	Combination Product: LUM Imaging System	Correlation of fluorescence levels in normal and tumor tissue by dose of LUM015|Number of reported safety events	Lumicell, Inc.	All	18 Years and older   (Adult, Older Adult)	Not Applicable	36	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Other	CL0004	May 3, 2019	January 2020	February 2020	October 24, 2018		May 13, 2019	Brigham and Women's Hospital, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT03717142
261	NCT03651921	Testing of the Cancer Thriving and Surviving Breast Cancer Program	COSS	Recruiting	No Results Available	Breast Neoplasm|Early-Stage Breast Cancer|Self-Management|Intervention|Cancer Survivorship	Behavioral: CTS-BC-CH	Reach of intervention assessed by ratio of eligible patients vs. participating patients|Changes in self-management skills assessed by heiQ|Change in patient-reported self-efficacy assessed by SES6G|Change in patient-reported health literacy assessed by HLS-EU-Q6|Change in patient-reported symptom burden assessed by BCPT Symptom Scales|Change in patient-reported health service navigation assessed by heiQ|Change in nurse-reported self-efficacy and self-management support practices assessed by SEPSS	Manuela Eicher|Swiss Cancer League|Lindenhof AG|University of Lausanne	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	72	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	ULausanne	December 12, 2017	July 27, 2019	July 27, 2019	August 29, 2018		August 29, 2018	Cantonal Hospital Aarau, Aarau, Switzerland|University Hospital Basel, Basel, Switzerland|University Inselspital Bern, Bern, Switzerland		https://ClinicalTrials.gov/show/NCT03651921
262	NCT02828150	Integrative Parenteral Nutrition in Cancer Patients		Completed	No Results Available	Neoplasms|Parenteral Nutrition	Dietary Supplement: Parenteral nutrition	Phase angle|body weight|body mass index|Handgrip strength|Number of participants with treatment-related adverse events as assessed by biochemistry	IRCCS Policlinico S. Matteo|Baxter Healthcare Corporation	All	18 Years and older   (Adult, Older Adult)	Not Applicable	131	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2015013559	July 2016	December 2017	December 2017	July 11, 2016		December 4, 2017	Fondazione IRCCS Policlinico San Matteo, Pavia, Italy		https://ClinicalTrials.gov/show/NCT02828150
263	NCT01044732	Third Eye Retroscope Randomized Clinical Evaluation	TERRACE	Completed	Has Results	Colorectal Neoplasms	Device: Third Eye Retroscope	Detection Rates for Adenomas and for Total Polyps|Times for Withdrawal Phase and for Complete Procedure	Avantis Medical Systems	All	Child, Adult, Older Adult	Not Applicable	448	Industry	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	Avantis TER-08-06	March 2009	February 2010	February 2010	January 8, 2010	October 1, 2015	July 25, 2017	Johns Hopkins Hospital, Baltimore, Maryland, United States|Kansas City Veterans Administration Medical Center, Kansas City, Missouri, United States|Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|Bayside Endoscopy Center, Providence, Rhode Island, United States|Baylor University Medical Center, Dallas, Texas, United States|Cliniques Universitaires Saint-Luc, Brussels, Belgium|Istituto Clinico Humanitas, Milan, Italy|University Medical Center Utrecht, Utrecht, Netherlands|St. Mark's Hospital, London, United Kingdom		https://ClinicalTrials.gov/show/NCT01044732
264	NCT00153868	A Web-based Study of Quality of Life Benefits Associated Aranesp in Anemic Patients With Cancer		Active, not recruiting	No Results Available	Anemia|Cancer	Drug: darbepoetin alfa	A secure web-based assessment of cancer-related symptoms (LCSS), functional status (SF-36), and quality of life (FACT-An and PFS) will be obtained every 2 weeks (weeks 3, 5, 7, 9, 11, and 13).|A blood sample will be obtained to evaluate hemoglobin concentrations every 2 weeks (weeks 3, 5, 7, 9, 11, and 13).|A blood sample will be obtained to evaluate plasma cytokines every 4 weeks (weeks 5, 9, and 13).	Dartmouth-Hitchcock Medical Center|Amgen	All	18 Years and older   (Adult, Older Adult)	Not Applicable	43	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	D-0341	October 2003	December 2025	December 2025	September 12, 2005		August 24, 2018	Norris Cotton Cancer Center, Lebanon, New Hampshire, United States		https://ClinicalTrials.gov/show/NCT00153868
265	NCT00130143	Toxicities Associated With Subcutaneous Administration of Ethyol (Amifostine) for the Prevention of Radiation-Induced Toxicities		Completed	No Results Available	Head and Neck Cancer|Lung Cancer	Drug: Ethyol (Amifostine)	Primary endpoint: To evaluate how amifostine is given subcutaneously at each institution|To determine treatment related toxicities and safety of subcutaneous administration of amifostine for the prevention of radiation-induced toxicities|Secondary endpoints: Evaluate efficacy of amifostine in reducing radiation induced toxicities in these patients	The Dale & Frances Hughes Cancer Center|MedImmune LLC	All	18 Years and older   (Adult, Older Adult)	Not Applicable	20	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Ethyol Study #ETH156-03D	June 2003		September 2004	August 15, 2005		September 27, 2005	The Dale & Frances Hughes Cancer Center, East Stroudsburg, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT00130143
266	NCT00967148	Thromboprophylaxis for Patients Undergoing Surgical Resection for Colon Cancer	PERI-OP	Completed	No Results Available	Deep Vein Thrombosis|Pulmonary Embolism|Cancer	Drug: Tinzaparin	Recruitment rate|Refusal rate|Rate of non-compliance and lost to follow-up|Expression of sialylated fucosylated glycans (including CA19-9, sialyl Lewis X and CD24) in primary tumor specimens by immunohistochemistry (IHC).|Expression of TF. VEGF and microvessel density in primary tumor specimens by IHC.|Serum soluble TF and TFPI levels pre and postoperatively (postoperative day 0, 1, 4, 7±1, and 28±4) measured by enzyme linked immunosorbent assay (ELISA).|Platelet count and serum soluble P-selectin levels pre and postoperatively (postoperative day 0, 1, 4, 7±1, and 28±4) measured by hemocytometer and ELISA.|Serum VEGF levels pre and postoperatively (postoperative day 0, 1, 4, 7±1, and 28±4) measured by ELISA|Quantification and characterization of VPC pre and postoperatively (postoperative day 0, 1, 4, 7±1, and 28±4) measured by VPC cell culture assay and flow cytometry.	Ottawa Hospital Research Institute|LEO Pharma	All	18 Years and older   (Adult, Older Adult)	Not Applicable	18	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	2009121-01H	June 2009	September 2010	September 2010	August 27, 2009		October 22, 2014	Ottawa Health Research Institute, Ottawa, Ontario, Canada		https://ClinicalTrials.gov/show/NCT00967148
267	NCT02700464	The Efficacy of the Bladder EpiCheck for Detection of Recurrent Urothelial Cell Carcinoma		Recruiting	No Results Available	Bladder Cancer	Device: Bladder EpiCheck Urine Test|Procedure: Cystoscopy and pathology	Specificity of Bladder EpiCheck Urine Test Kit (the proportion of negatives that are correctly identified as such by the gold standard)|Sensitivity of Bladder EpiCheck Urine Test Kit (The proportion of positives that are correctly identified as such by the gold standard)	Nucleix Ltd.	All	22 Years and older   (Adult, Older Adult)	Not Applicable	500	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Diagnostic	UC-EpiCheck-FDA-01	September 2016	December 2019	March 2020	March 7, 2016		August 21, 2017	Chesapeake Urology Research Associates, Baltimore, Maryland, United States|Metro Urology, Woodbury, Minnesota, United States|Urological Surgeons of Long Island, Garden City, New York, United States|Duke University Health System, Durham, North Carolina, United States|Cleveland Clinic, Cleveland, Ohio, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Urology San Antonio, San Antonio, Texas, United States|University Of Washington, Seattle, Washington, United States|UHN, Princess Margret Cancer center, Toronto, Ontario, Canada		https://ClinicalTrials.gov/show/NCT02700464
268	NCT03972527	Photobiomodulation Therapy to Demonstrate Safety and Reduce Pain Associated With Oral Mucositis in Adult Patients With Head and Neck Cancer Receiving Concurrent Radiation and Chemotherapy		Not yet recruiting	No Results Available	Oral Mucositis (Ulcerative)|Oral Mucositis (Ulcerative) Due to Radiation|Oral Mucositis (Ulcerative) Due to Antineoplastic Therapy|Head and Neck Cancer	Device: Photobiomodulation|Other: Routine Oral Care and Analgesia	Change in pain from baseline|Oral Mucositis (OM) Grade and Incidence,|Analgesic Usage, Pain	MuReva Phototherapy Inc.|Ohio State University Comprehensive Cancer Center|Hackensack Meridian Health	All	22 Years and older   (Adult, Older Adult)	Not Applicable	50	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care	LLD-001	July 1, 2019	July 1, 2020	July 1, 2020	June 3, 2019		June 3, 2019			https://ClinicalTrials.gov/show/NCT03972527
269	NCT02065726	Whey Protein Supplementation in Cancer Patients		Completed	No Results Available	Solid Tumors	Dietary Supplement: Whey protein|Other: Nutritional counseling	Body composition|Body weight|Quality of life|Handgrip strength	IRCCS Policlinico S. Matteo|Norgine|Akern Srl	All	18 Years and older   (Adult, Older Adult)	Not Applicable	166	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20130018046	February 25, 2014	June 2018	June 2018	February 19, 2014		June 8, 2018	Nutrition and Dietetics Service, Fondazione IRCCS Policlinico San Matteo, Pavia, Italy, Pavia, Italy		https://ClinicalTrials.gov/show/NCT02065726
270	NCT03630666	Comparison of Intermittent Androgen Deprivation Therapy With or Without Irradiation Recovery in Prostate Cancer Patients	OLIGOPELVIS2	Recruiting	No Results Available	Prostate Cancer|Oligometastasis	Drug: IADT|Combination Product: IADT + radiotherapy	progression-free survival|overall survival|time to castration-resistance|toxicity to IADT and radiation|quality of life during treatment|site of tumor progression	Institut Cancerologie de l'Ouest|Direction Générale de l'Offre de Soins|Astellas Pharma Inc	Male	18 Years and older   (Adult, Older Adult)	Not Applicable	256	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ICO-N-2017-13	December 4, 2018	June 2026	June 2026	August 15, 2018		May 13, 2019	Institut Sainte Catherine, Avignon, France|Institut Bergonie, Bordeaux, France|CHRU de Brest, Brest, France|Clinique Pasteur, Brest, France|Institut de Cancérologie de Bourgogne, Chalon-sur-Saône, France|Centre Jean Perrin, Clermont-Ferrand, France|Centre Georges François Leclerc, Dijon, France|Centre Oscar Lambret, Lille, France|Centre Léon Bérard, Lyon, France|Institut de Cancérologie de Montpellier, Montpellier, France|Centre Azureen de Cancerologie, Mougins, France|Institut de Cancérologie, Nantes, France|Hopital Privé du Confluent, Nantes, France|Clinique Mutualiste de l'Estuaire, Saint-Nazaire, France|ICL Lucien Neuwirth, Saint-Priest-en-Jarez, France|Centre Saint Yves, Vannes, France		https://ClinicalTrials.gov/show/NCT03630666
271	NCT02729753	Clinical Study to Evaluate CryoBalloon™ Full and Swipe Ablation Systems for Ablation of Human Esophageal Epithelium		Completed	Has Results	Esophageal Cancer	Device: CryoBalloon™ Full Ablation System|Device: CryoBalloon™ Swipe Ablation System	Safety of the CryoBalloon™ Full and Swipe Ablation System|Effect of Ablation to Submucosa at Different Depth of Tissue Ablation Using the CryoBalloon™ Full and Swipe Ablation Systems|Device Performance: Average Procedure Time|Device Performance: Ease of Deployment of Device	C2 Therapeutics, Inc.	All	18 Years and older   (Adult, Older Adult)	Not Applicable	10	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	CP0014	April 2016	October 24, 2016	October 30, 2016	April 6, 2016	October 12, 2018	October 12, 2018	MD Anderson Cancer Center, Houston, Texas, United States|Swedish Medical Center and Cancer Institute, Seattle, Washington, United States		https://ClinicalTrials.gov/show/NCT02729753
272	NCT02729727	Clinical Study to Evaluate CryoBalloon™ Ablation System in Patients Undergoing Esophagectomy		Completed	No Results Available	Esophageal Cancer	Device: CryoBalloon Ablation System	Safety of CryoBalloon Ablation System|Device Performance	C2 Therapeutics, Inc.	All	18 Years and older   (Adult, Older Adult)	Not Applicable	3	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	CP-0008	March 2016	June 24, 2016	June 30, 2016	April 6, 2016		January 25, 2018	Academic Medical Centre Amsterdam, Amsterdam, North Holland, Netherlands		https://ClinicalTrials.gov/show/NCT02729727
273	NCT02468726	Performance of NER1008 Enema Compared With Fleet® Enema in Bowel Cleansing		Completed	No Results Available	Colorectal Cancer	Device: NER1008 enema|Drug: Fleet	Success of bowel cleansing|Grade of bowel cleansing|Quality of cleansing in rectum|Quality of cleansing in sigmoid colon|Quality of cleansing in the descending colon|Depth of scope progression|Stool weight	Norgine	All	18 Years to 45 Years   (Adult)	Not Applicable	25	Industry	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Screening	NER1008-01/2011 (ENE)	November 2011	March 2012	December 2012	June 11, 2015		June 11, 2015	BioKinetic Europe Ltd, Belfast, United Kingdom		https://ClinicalTrials.gov/show/NCT02468726
274	NCT01572428	Narrow-Band Imaging Versus Standard White Light for the Detection of Serrated Lesions in the Proximal Colon		Completed	Has Results	Colon Cancer	Procedure: Inspection with Narrow-Band Imaging(NBI)|Procedure: Standard White Light	Total Number of Serrated Lesions Proximal to the Sigmoid Colon|Number of Serrated Lesions Proximal to the Sigmoid Colon Per Patient|Patients With 1 or More Serrated Lesions Proximal to the Sigmoid Colon|Total Number of Conventional Adenomas in Entire Colon|Number of Conventional Adenomas Per Patient in Entire Colon|Patients With 1 or More Conventional Adenomas	Indiana University|Olympus	All	50 Years to 85 Years   (Adult, Older Adult)	Not Applicable	898	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	1012-17	April 2011	July 7, 2014	July 7, 2014	April 6, 2012	August 8, 2019	August 8, 2019	Beltway Surgical Center, Indianapolis, Indiana, United States		https://ClinicalTrials.gov/show/NCT01572428
275	NCT00256789	Once Weekly Radiation for Lung Cancer With Chemotherapy		Completed	No Results Available	Carcinoma, Non-Small-Cell Lung	Procedure: Radiation|Drug: Chemotherapy	Feasibility|Toxicity, Safety, Efficacy	Clinical Oncology Research Associates|Aventis Pharmaceuticals	All	Child, Adult, Older Adult	Not Applicable	26	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Hypo 1	September 2002	December 2003	December 2004	November 22, 2005		February 11, 2014	Cancer Center and Mobile Infirmary Hospital, Mobile, Alabama, United States		https://ClinicalTrials.gov/show/NCT00256789
276	NCT03235687	Decision Impact Trial of the ExoDx Prostate (IntelliScore)		Active, not recruiting	No Results Available	Cancer of the Prostate	Diagnostic Test: ExoDx Prostate (IntelliScore)	Evaluate performance of the ExoDx Prostate(IntelliScore)	Exosome Diagnostics, Inc.|CareFirst BlueCross BlueShield|Chesapeake Urology Research Associates	Male	50 Years and older   (Adult, Older Adult)	Not Applicable	1000	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Screening	ECT2017-002	July 19, 2017	December 1, 2019	December 29, 2019	August 1, 2017		February 15, 2019	Chesapeake Urology Research Associates, Towson, Maryland, United States		https://ClinicalTrials.gov/show/NCT03235687
277	NCT01032044	CLE for Assessment of Neoplasia After Mucosal Ablation or Resection of Gastrointestinal Neoplasia	CLEAN-MARGIN	Completed	Has Results	Barrett Syndrome|Barrett's Syndrome|Barrett's Esophagus|Barrett Esophagus|Adenocarcinoma	Device: Standard endoscopic evaluation|Device: pCLE guided evaluation	Number of Barrett's Esophagus (BE) Participants With a Composite Outcome of "Optimally Treated"	Mauna Kea Technologies|Cellvizio Inc.	All	18 Years and older   (Adult, Older Adult)	Not Applicable	164	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic	MKT-2009-BE-01	February 2010	April 2011	April 2011	December 15, 2009	April 22, 2016	April 22, 2016	Mayo Clinic, Jacksonville, Florida, United States|University of Chicago Hospital, Chicago, Illinois, United States|Veterans Affairs Hospital, Kansas City, Missouri, United States|University of Washington Medical Center, Seattle, Washington, United States|Centre Hospitalier Universitaire, Nantes, France|University College London Hospital, London, United Kingdom		https://ClinicalTrials.gov/show/NCT01032044
278	NCT03340857	Intelligent Electric Bicycle for Health (VELIS) to Optimize the Return to Physical Activity for Oncology Patients		Recruiting	No Results Available	Cancer|Oncology	Other: Intelligent electric bicycle (VELIS) sessions	Percentage of patients reaching the goal of 150 min equivalent of moderate physical activity per week (600 MET-min/week)|Quantitative analysis of kinetic physical activity evolution|Evaluate the VELIS sessions feasibility n°1|Evaluate the VELIS sessions feasibility n°2|Evaluate the VELIS sessions feasibility n°3|Evaluate the impact on the physical capacities n°1|Evaluate the impact on the physical capacities n°2|Evaluate the impact on the physical capacities n°3|Evaluate the impact on the physical capacities n°4|Evaluate the impact on the physical capacities n°5|Evaluate the impact on the physical capacities n°6|Evaluate the impact on the physical capacities n°7|Evaluate the impact on the physical capacities n°8|Evaluate the impact on the physical capacities n°9|Evaluate the impact on the physical capacities n°10|Evaluate the impact on the physical capacities n°11|Evaluate the impact on the physical capacities n°12|Improve quality of life|Improve fatigue n°1|Improve fatigue n°2|Improve chronic pain|Improve self-esteem|Improve patient satisfaction|Remove stereotypes that can lead to inhibition in the physical activity practice|Evolution of uses and performances during bicycle sessions at the beginning and the end of the intervention n°1|Evolution of uses and performances during bicycle sessions at the beginning and the end of the intervention n°2|Evolution of uses and performances during bicycle sessions at the beginning and the end of the intervention n°3|Evolution of uses and performances during bicycle sessions at the beginning and the end of the intervention n°4	Fondation Audavie|Floralis|eBikeLabs|Rocheplane Medical Center	All	18 Years and older   (Adult, Older Adult)	Not Applicable	16	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other	ONCOVELIS version 2.0	October 9, 2017	August 30, 2018	October 30, 2018	November 14, 2017		February 19, 2018	Rocheplane Medical Center, Saint-Martin-d'Hères, Rhône-Alpes, France		https://ClinicalTrials.gov/show/NCT03340857
279	NCT02416336	Evaluation of Intraoperative Usage of Sentinella in Detecting Sentinel Lymph Nodes		Completed	No Results Available	Melanoma|Head and Neck Cancer|Breast Cancer	Device: Sentinella Intraoperative imaging protocol	The percentage of patients for whom Sentinella detects additional tumor-positive SLNs.|Mean percentage of SLNs detected using pre-operative lymphoscintigraphy and/or SPECT/CT|Additional SLNs per patient found using Sentinella|Mean Sentinella imaging time	Oncovision Inc|California Pacific Medical Center	All	Child, Adult, Older Adult	Not Applicable	100	Industry|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SLN-USA-1	July 2015	March 2017	March 2017	April 15, 2015		April 5, 2017	California Pacific Medical Center - Pacific Campus, San Francisco, California, United States		https://ClinicalTrials.gov/show/NCT02416336
280	NCT02286843	Can HER2 Targeted PET/CT Imaging Identify Unsuspected HER2 Positive Breast Cancer Metastases, Which Are Amenable to HER2 Targeted Therapy?		Recruiting	No Results Available	Breast Cancer Metastases|HER2 Positive Breast	Radiation: 89Zr-trastuzumab|Device: PET/CT scan|Radiation: 89Zr-pertuzumab	proportion of patients with HER2- primary breast cancer who develop imagable HER2+ metastases	Memorial Sloan Kettering Cancer Center|United States Department of Defense|Genentech, Inc.	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	50	Other|U.S. Fed|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	14-156	November 2014	November 2019	November 2019	November 10, 2014		October 29, 2018	Memorial Sloan Kettering Cancer Center, New York, New York, United States		https://ClinicalTrials.gov/show/NCT02286843
281	NCT01215071	Eingeschränkte vs Ausgedehnte Lymphadenektomie LEA		Completed	No Results Available	Bladder Cancer	Procedure: limited lymphadenectomy|Procedure: extended lymphadenectomy	Recurrence free Survival (RFS)|Cancer specific survival (CSS)|Overall survival (OS)|Determination of type and location of tumour progression(local recurrences and distant metastases)|Effect on histopathological stage (Will Rogers phenomenon)|Influence of adjuvant chemotherapy (by subgroup analysis)|Documentation of complications	Association of Urologic Oncology (AUO)|Eli Lilly and Company	All	18 Years and older   (Adult, Older Adult)	Not Applicable	401	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	AB 25/02	February 2006	August 2015	August 2015	October 6, 2010		January 24, 2018	Urological hospital, Städt. Kliniken Dortmund, Dortmund, Germany|Paracelsus Hospital, Düsseldorf, Germany|Heinrich Heine University, Düsseldorf, Germany|University of Essen, Essen, Germany|Department of urology, städt. Klinikum Fulda, Fulda, Germany|Saarland University, Homburg/Saar, Germany|Städt. Klinikum, Karlsruhe, Germany|Urological Hospital Kassel, Kassel, Germany|University of Cologne, Köln, Germany|Hospital Holweide, Köln, Germany|Klinikum Ludwigshafen, Ludwigshafen, Germany|Otto von Guericke University, Magdeburg, Germany|Klinikum r. d. Isar der TUM, München, Germany|Eberhard Karls University, Tübingen, Germany|Urological hospital, University Hospital Ulm, Ulm, Germany|Helios Klinikum Wuppertal, Wuppertal, Germany		https://ClinicalTrials.gov/show/NCT01215071
282	NCT03735407	Safety,Usability and Compliance of Using C-Scan System for Providing Information on Colonic Polypoid Lesions and Masses	C-Scan	Recruiting	No Results Available	Colo-rectal Cancer	Device: C-Scan procedure	Number of incidence of device and procedure related Serious Adverse Events (SAE)|Non-compliance rate of subjects (%)|To evaluate subject's satisfaction	Ceck Cap Ltd.	All	40 Years to 80 Years   (Adult, Older Adult)	Not Applicable	45	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	CL-SY-02-0096	February 1, 2019	August 1, 2019	September 1, 2019	November 8, 2018		June 4, 2019	Mayoclinic, Rochester, Minnesota, United States		https://ClinicalTrials.gov/show/NCT03735407
