Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
246	NCT00117117	A Study to Assess Symptom Burden in Subjects With Nonmyeloid Malignancies Receiving Chemotherapy and Aranesp®		Completed	No Results Available	Anemia	Drug: Aranesp	Patient reported outcomes|Changes in hemoglobin endpoints and RBC transfusion requirements	Amgen	All	18 Years and older   (Adult, Older Adult)	Phase 4	2423	Industry	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20020132	September 2002		December 2003	July 4, 2005		March 25, 2009			https://ClinicalTrials.gov/show/NCT00117117
247	NCT03323021	Use of Human Dehydrated Amnion/Chorion (DHACM) Allograft in Partial Nephrectomy		Completed	No Results Available	Partial Nephrectomy|Kidney Cancer|Renal Function Aggravated	Biological: Dehydrated human amnion/chorion membrane|Other: Standard of Care	Recovery of Renal Function|Preservation of Renal Parenchymal Volume|Cancer Control Rates	MiMedx Group, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 4	61	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	AFSUR001	May 23, 2017	February 21, 2019	February 21, 2019	October 26, 2017		March 8, 2019	The Mount Sinai Hospital, New York, New York, United States		https://ClinicalTrials.gov/show/NCT03323021
248	NCT01465243	Dose Escalation Of Icotinib In Previously Treated Patients With Routine Dose		Completed	No Results Available	Non-small Cell Lung Cancer	Drug: Icotinib	Progression-free Survival|Overall survival|Objective response rate|Time to progression|Health-Related Quality of Life (HR QOL)|Number of Participants with adverse events and serious adverse events (SAEs)	Betta Pharmaceuticals Co., Ltd.	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	32	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BD-IC-IV01	September 2011	October 2013	February 2014	November 4, 2011		February 17, 2014	307 Hospital of People's Liberation Army（PLA）, Beijing, Beijing, China		https://ClinicalTrials.gov/show/NCT01465243
249	NCT00776425	A Study of the Quality of Life and Treatment Response to Once Weekly Epoetin Beta (Recormon) Treatment in Anemic Participants With Solid and Lymphoid Malignancies		Completed	No Results Available	Anemia	Drug: Epoetin beta	Percentage of Participants Who Achieved a Clinical Response 3-4 Weeks After Start of Treatment|Percentage of Participants Who Achieved a Clinical Response 6-8 Weeks After Start of Treatment|Percentage of Participants Who Achieved a Clinical Response 10-12 Weeks After Start of Treatment|Percentage of Participants Who Achieved a Clinical Response 3-4 Weeks After Start of Treatment with Mixed Dosing Regimen|Percentage of Participants Who Achieved a Clinical Response 6-8 Weeks After Start of Treatment with Mixed Dosing Regimen|Percentage of Participants Who Achieved a Clinical Response 10-12 Weeks After Start of Treatment with Mixed Dosing Regimen|Quality of Life of Anemic Participants Using Short Form 36 (SF-36) Questionnaire Prior To Treatment|Quality of Life of Anemic Participants Using SF-36 Questionnaire 3-4 Weeks After Start of Treatment|Quality of Life of Anemic Participants Using SF-36 Questionnaire 6-8 Weeks After Start of Treatment|Quality of Life of Anemic Participants Using SF-36 Questionnaire 10-12 Weeks After Start of Treatment|Percentage of Participants With Quality of Life Integral Value (IV) Reduction Prior To Treatment|Percentage of Participant With Quality of Life IV Reduction 3-4 Weeks After Start of Treatment|Percentage of Participant With Quality of Life IV Reduction 6-8 Weeks After Start of Treatment|Percentage of Participant With Quality of Life IV Reduction 10-12 Weeks After Start of Treatment|Percentage of Participant With Characteristics of The Quality of Life Related Response To Treatment 3-4 Weeks After Start of Treatment|Percentage of Participant With Characteristics of The Quality of Life Related Response To Treatment 6-8 Weeks After Start of Treatment|Percentage of Participant With Characteristics of The Quality of Life Related Response To Treatment 10-12 Weeks After Start of Treatment|Fatigue Severity Score at Baseline|Fatigue Severity Score 3-4 Weeks After Start of Treatment|Fatigue Severity Score 6-8 Weeks After Start of Treatment|Fatigue Severity Score 10-12 Weeks After Start of Treatment|Percentage of Participant With Various Fatigue Severity Prior To Treatment|Percentage of Participant With Various Fatigue Severity 3-4 Weeks After Start of Treatment|Percentage of Participant With Various Fatigue Severity 6-8 Weeks After Start of Treatment|Percentage of Participant With Various Fatigue Severity 10-12 Weeks After Start of Treatment|Percentage of Participant With Different Symptoms Prior to Treatment (MDASI Questionnaire)|Percentage of Participant With Different Symptoms 3-4 Weeks After Start of Treatment (MDASI Questionnaire)|Percentage of Participant With Different Symptoms 6-8 Weeks After Start of Treatment (MDASI Questionnaire)|Percentage of Participant With Different Symptoms 10-12 Weeks After Start of Treatment (MDASI Questionnaire)|Severity Score of Different Symptoms Prior toTreatment (MDASI Questionnaire)|Severity Score of Different Symptoms 3-4 Weeks After Start of Treatment (MDASI Questionnaire)|Severity Score of Different Symptoms 6-8 Weeks After Start of Treatment (MDASI Questionnaire)|Severity Score of Different Symptoms 10-12 Weeks After Start of Treatment (MDASI Questionnaire)|Percentage of Participants With Improvement in Symptoms Severity 10-12 Weeks After Start of Treatment|Percentage of Participants With Concomitant Symptoms of Various Severity Prior To Treatment|Percentage of Participants With Concomitant Symptoms of Various Severity 3-4 Weeks After Start of Treatment|Percentage of Participants With Concomitant Symptoms of Various Severity 4-6 Weeks After Start of Treatment|Percentage of Participants With Concomitant Symptoms of Various Severity 10-12 Weeks After Start of Treatment|Quality of Life of Anemic Participants With Clinical Response Using SF-36 Questionnaire Prior To Treatment|Quality of Life of Anemic Participants With Clinical Response Using SF-36 Questionnaire 3-4 Weeks After Start of Treatment|Quality of Life of Anemic Participants With Clinical Response Using SF-36 Questionnaire 6-8 Weeks After Start of Treatment|Quality of Life of Anemic Participants With Clinical Response Using SF-36 Questionnaire 10-12 Weeks After Start of Treatment|Percentage of Participants With Different Symptoms Who Had Clinical Response Prior to Treatment|Percentage of Participants With Different Symptoms Who Had Clinical Response 3-4 Weeks After Start of Treatment|Percentage of Participants With Different Symptoms Who Had Clinical Response 6-8 Weeks After Start of Treatment|Percentage of Participants With Different Symptoms Who Had Clinical Response 10-12 Weeks After Start of Treatment|Severity Score of Different Symptoms in Anemic Participants With Clinical Response Prior To Treatment|Severity Score of Different Symptoms in Anemic Participants With Clinical Response 3-4 Weeks After Start of Treatment|Severity Score of Different Symptoms in Anemic Participants With Clinical Response 6-8 Weeks After Start of Treatment|Severity Score of Different Symptoms in Anemic Participants With Clinical Response 10-12 Weeks After Start of Treatment|Percentage of Participants With Clinical Response After First 3-4 Weeks of Treatment at 30000 IU Once Weekly Dose|Percentage of Participants With Clinical Response After Second 3-4 Weeks of Treatment at 30000 IU Once Weekly Dose|Percentage of Participants With Clinical Response After Third 3-4 Weeks of Treatment at 30000 IU Once Weekly Dose|Quality of Life in Anemic Participants Receiving Treatment at 30000 IU Once Weekly (SF-36 Questionnaire) Prior to Treatment|Quality of Life in Anemic Participants Receiving Treatment at 30000 IU Once Weekly (SF-36 Questionnaire) 3-4 Weeks After Start of Treatment|Quality of Life in Anemic Participants Receiving Treatment at 30000 IU Once Weekly (SF-36 Questionnaire) 6-8 Weeks After Start of Treatment|Quality of Life in Anemic Participants Receiving Treatment at 30000 IU Once Weekly (SF-36 Questionnaire) 10-12 Weeks After Start of Treatment|Number of Participants With Lymphoproliferative Disorders and Solid Tumors Who Had Quality of Life IV Reduction Prior to Treatment|Number of Participants With Lymphoproliferative Disorders and Solid Tumors Who Had Quality of Life IV Reduction 3-4 Weeks After Start of Treatment|Number of Participants With Lymphoproliferative Disorders and Solid Tumors Who Had Quality of Life IV Reduction 6-8 Weeks After Start of Treatment|Number of Participants With Lymphoproliferative Disorders and Solid Tumors Who Had Quality of Life IV Reduction 10-12 Weeks After Start of Treatment|Percentage of Participants With Different Symptoms Categorized by Lymphoproliferative Disorders and Solid Tumors Prior Receiving Treatment at 30000 IU Once Weekly|Percentage of Participants With Different Symptoms Categorized by Lymphoproliferative Disorders and Solid Tumors 3-4 Weeks After Start of Treatment at 30000 IU Once Weekly|Percentage of Participants With Different Symptoms Categorized by Lymphoproliferative Disorders and Solid Tumors 6-8 Weeks After Start of Treatment at 30000 IU Once Weekly|Percentage of Participants With Different Symptoms Categorized by Lymphoproliferative Disorders and Solid Tumors 10-12 Weeks After Start of Treatment at 30000 IU Once Weekly|Severity Score of Different Symptoms in Participants With Lymphoproliferative Disorders and Solid Tumors Prior to Treatment at 30000 IU Once Weekly|Severity Score of Different Symptoms in Participants With Lymphoproliferative Disorders and Solid Tumors 3-4 Weeks After Start of Treatment at 30000 IU Once Weekly|Severity Score of Different Symptoms in Participants With Lymphoproliferative Disorders and Solid Tumors 6-8 Weeks After Start of Treatment at 30000 IU Once Weekly|Severity Score of Different Symptoms in Participants With Lymphoproliferative Disorders and Solid Tumors 10-12 Weeks After Start of Treatment at 30000 IU Once Weekly|Percentage of Participants With Improvement in Symptoms Severity Categorized by Lymphoproliferative Disorders and Solid Tumors 10-12 Weeks After Start of Treatment|Number of Participants Who Achieved a Clinical Response 3-4 Weeks After Start of Treatment|Number of Participants Who Achieved a Clinical Response 6-8 Weeks After Start of Treatment|Number of Participants Who Achieved a Clinical Response 10-12 Weeks After Start of Treatment|Number of Participants Who Achieved a Clinical Response With Mixed Drug Dosing Regimen, 3-4 Weeks After Start of Treatment|Number of Participants Who Achieved a Clinical Response With Mixed Drug Dosing Regimen, 6-8 Weeks After Start of Treatment|Number of Participants Who Achieved a Clinical Response With Mixed Dosing Regimen, 10-12 Weeks After Start of Treatment|Number of Participants With Quality of Life IV Reduction 3-4 Weeks After Start of Treatment|Number of Participants With Quality of Life IV Reduction 6-8 Weeks After Start of Treatment|Number of Participants With Quality of Life IV Reduction 10-12 Weeks After Start of Treatment|Number of Participants With Characteristics of the Quality of Life Related Response To Treatment 3-4 Weeks After Start of Treatment|Number of Participants With Characteristics of the Quality of Life Related Response To Treatment 6-8 Weeks After Start of Treatment|Number of Participants With Characteristics of the Quality of Life Related Response To Treatment 10-12 Weeks After Start of Treatment|Percentage of Participants With Various Fatigue Severity 3-4 Weeks After Start of Treatment|Percentage of Participants With Various Fatigue Severity 6-8 Weeks After Start of Treatment|Percentage of Participants With Various Fatigue Severity 10-12 Weeks After Start of Treatment|Number of Participants With Different Symptoms 3-4 Weeks After Start of Treatment (MDASI Questionnaire)|Number of Participant With Different Symptoms 6-8 Weeks After Start of Treatment (MDASI Questionnaire)|Number of Participants With Different Symptoms 10-12 Weeks After Start of Treatment (MDASI Questionnaire)|Number of Participants With Improvement in Symptoms Severity 10-12 Weeks After Start of Treatment|Number of Participants With Concomitant Symptoms of Various Severity 3-4 Weeks After Start of Treatment|Number of Participants With Concomitant Symptoms of Various Severity 6-8 Weeks After Start of Treatment|Number of Participants With Concomitant Symptoms of Various Severity 10-12 Weeks After Start of Treatment|Number of Participants With Different Symptoms Who Had Clinical Response 3-4 Weeks After Start of Treatment|Number of Participants With Different Symptoms Who Had Clinical Response 6-8 Weeks After Start of Treatment|Number of Participants With Different Symptoms Who Had Clinical Response 10-12 Weeks After Start of Treatment|Number of Participants With Clinical Response After First 3-4 Weeks of Treatment at 30000 IU Once Weekly Dose|Number of Participants With Clinical Response After Second 3-4 Weeks of Treatment at 30000 IU Once Weekly Dose|Number of Participants With Clinical Response After Third 3-4 Weeks of Treatment at 30000 IU Once Weekly Dose|Number of Participants With Different Symptoms Categorized by Lymphoproliferative Disorders and Solid Tumors Before Receiving Treatment at 30000 IU Once Weekly|Number of Participants With Different Symptoms Categorized by Lymphoproliferative Disorders and Solid Tumors 3-4 Weeks After Start of Treatment at 30000 IU Once Weekly|Number of Participants With Different Symptoms Categorized by Lymphoproliferative Disorders and Solid Tumors 6-8 Weeks After Start of Treatment at 30000 IU Once Weekly|Number of Participants With Different Symptoms Categorized by Lymphoproliferative Disorders and Solid Tumors 10-12 Weeks After Start of Treatment at 30000 IU Once Weekly|Number of Participants With Improvement in Symptoms Severity Categorized by Lymphoproliferative Disorders and Solid Tumors 10-12 Weeks After Start of Treatment at 30000 IU Once Weekly	Hoffmann-La Roche	All	18 Years and older   (Adult, Older Adult)	Phase 4	117	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ML20197	January 2007	November 2012	November 2012	October 21, 2008		July 2, 2017	Arkhangelsk, Russian Federation|Barnaul, Russian Federation|Belgorod, Russian Federation|Ivanovo, Russian Federation|Kazan, Russian Federation|Kostroma, Russian Federation|Lipetsk, Russian Federation|Moscow, Russian Federation|Moscow, Russian Federation|Novosibirsk, Russian Federation|Petrozavodsk, Russian Federation|Ryazan, Russian Federation|Salekhard, Russian Federation|Soshi, Russian Federation|St Petersburg, Russian Federation|St Petersburg, Russian Federation|St Petersburg, Russian Federation|Surgut, Russian Federation|Tumen, Russian Federation|Tver, Russian Federation|UFA, Russian Federation|Yaroslavl, Russian Federation		https://ClinicalTrials.gov/show/NCT00776425
250	NCT01609543	A Study of Tarceva (Erlotinib) in First Line in Patients With Locally Advanced or Metastatic Lung Adenocarcinoma With EGFR Mutations		Completed	Has Results	Non-Squamous Non-Small Cell Lung Cancer	Drug: erlotinib [Tarceva]	Progression-Free Survival (PFS)|Percentage of Participants With Best Overall Response (BOR)|Percentage of Participants Who Were Alive at 1 Year	Hoffmann-La Roche	All	18 Years and older   (Adult, Older Adult)	Phase 4	62	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ML27880|2011-002168-26	May 2012	January 2015	January 2015	June 1, 2012	February 1, 2016	February 1, 2016	Budapest, Hungary|Budapest, Hungary|Debrecen, Hungary|Deszk, Hungary|Farkasgyepu, Hungary|Gyula, Hungary|Mosonmagyaróvar, Hungary|Mátraháza, Hungary|Nyiregyhaza, Hungary|Pecs, Hungary|Szekesfehervar, Hungary|Szekszard, Hungary|Szolnok, Hungary|Szombathely, Hungary|Torokbalint, Hungary|Törökbálint, Hungary|Riga, Latvia|Riga, Latvia|Ankara, Turkey|Ankara, Turkey|Antalya, Turkey|Edirne, Turkey|Istanbul, Turkey		https://ClinicalTrials.gov/show/NCT01609543
251	NCT02000531	Progression Free Survival (PFS) Using Erlotinib for Non-Small-Cell Lung Cancer (NSCLC) in Chinese Population		Completed	Has Results	Carcinoma, Non-Small-Cell Lung	Drug: Erlotinib|Drug: Chemotherapy	Progression Free Survival (PFS) Based on Well-documented and Verifiable Progression Events|Participants With Adverse Events	Hoffmann-La Roche	All	18 Years and older   (Adult, Older Adult)	Phase 4	45	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ML29028	January 2014	December 2014	December 2014	December 4, 2013	January 13, 2016	January 13, 2016	Beijing, China|Changchun, China|Chongqing, China|ChongQing, China|Fuzhou, China|Guangzhou, China|Nanjing, China|Shanghai, China|Shanghai, China|Shantou, China|Wuhan, China		https://ClinicalTrials.gov/show/NCT02000531
252	NCT00952081	A Pilot Study to Evaluate Efficacy and Safety of Clevidipine in Neurosurgical Patients		Completed	Has Results	Hypertension|Brain Tumor|Epilepsy	Drug: Clevidipine	The Primary Endpoint of This Trial is the Proportion of Patients Who Did Not Require Rescue Antihypertensive Medication to Maintain SBP Below 130 mmHg (i.e. Clevidipine is a Sole Antihypertensive Agent Used for Blood Pressure Control)	NYU Langone Health|The Medicines Company	All	21 Years and older   (Adult, Older Adult)	Phase 4	22	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	08-745	July 2009	December 2009	February 2010	August 4, 2009	October 30, 2013	February 9, 2015	NYU Langone Medical Center, Department of Anesthesiology, New York, New York, United States		https://ClinicalTrials.gov/show/NCT00952081
253	NCT03210376	Neuromuscular Blockade on Shoulder Pain of Elderly		Active, not recruiting	No Results Available	Malignant Neoplasms of Digestive Organs|Malignant Neoplasms of Female Genital Organs|Malignant Neoplasms of Male Genital Organs|Malignant Neoplasms of Urinary Tract	Drug: Deep Neuromuscular Blockade (NMB)|Drug: Moderate Neuromuscular Blockade (NMB)|Drug: Sugammadex|Drug: Neostigmine|Behavioral: Pain Assessment	Incidence of Postoperative Shoulder Pain|Cumulative Intraoperative Insufflation Pressure (mmHg min) During Surgery|Readiness to Discharge from the Post-Anesthesia Care Unit (PACU|Degree of Post-Operative Nausea|Degree of Post-Operative Vomiting	M.D. Anderson Cancer Center|Merck Sharp & Dohme Corp.	All	65 Years and older   (Older Adult)	Phase 4	100	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	2017-0046|NCI-2018-01176	November 17, 2017	November 2019	November 2020	July 6, 2017		April 8, 2019	University of Texas MD Anderson Cancer Center, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT03210376
254	NCT00092183	An Investigational Drug for the Prevention of Chemotherapy-Induced Nausea and Vomiting (MK-0869-071)		Completed	No Results Available	Nausea|Vomiting|Breast Neoplasms	Drug: MK0869, aprepitant / Duration of Treatment: 3 days|Drug: Comparator: ondansetron / Duration of Treatment: 3 days	Emesis and use of rescue medication|Safety and tolerability|Quality of life	Merck Sharp & Dohme Corp.	All	18 Years and older   (Adult, Older Adult)	Phase 4	866	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention	0869-071|MK0869-071|2004_063	October 10, 2002	December 1, 2003	February 11, 2004	September 24, 2004		May 5, 2017			https://ClinicalTrials.gov/show/NCT00092183
255	NCT00204373	Treatment of Zollinger-Ellison Syndrome With Prevacid		Completed	Has Results	Zollinger-Ellison Syndrome|Multiple Endocrine Neoplasia	Drug: Lansoprazole (Prevacid)	Long-term Medical(Non-surgical)Control of Gastric Acid Production Assessed From Time of Study Enrollment, up to 240 Months Post Enrollment.|The Median Survival From the Time of Diagnosis.	Charles Mel Wilcox, MD|Takeda Pharmaceuticals North America, Inc.|University of Alabama at Birmingham	All	19 Years and older   (Adult, Older Adult)	Phase 4	72	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	F030107005	March 2003	December 2010	December 2010	September 20, 2005	October 19, 2012	October 30, 2012			https://ClinicalTrials.gov/show/NCT00204373
256	NCT01053819	Can We Miss Pigmented Lesions in Psoriasis Patients?		Completed	Has Results	Psoriasis|Melanoma|Non-melanoma Skin Cancer	Drug: etanercept	The Primary Endpoint for This Study Will be a Change From Baseline in the Number of Pigmented Lesions on Skin Previously Covered by Psoriatic Plaques.|A Secondary Objective Will be to Evaluate the Identified Pigmented Lesions for Suspicious Criteria	University of Alabama at Birmingham|Amgen	All	19 Years and older   (Adult, Older Adult)	Phase 4	6	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	F070629011	September 2007	April 2012	April 2012	January 21, 2010	August 22, 2012	February 23, 2018	UAB Dermatology, Birmingham, Alabama, United States		https://ClinicalTrials.gov/show/NCT01053819
257	NCT01783236	Analgesic Efficacy of Intravenous Acetaminophen After Video-assisted Thoracic Surgery		Completed	Has Results	Lung Tumor	Drug: IV Acetaminophen|Drug: Saline Placebo	Total Morphine Consumption (mg)|Total Number of PCA Requests in First 24 Hours Post-Operation|VAS Pain Score 2 Hours Post Operation|VAS Pain Score 6 Hours Post-Operation|VAS Score 24 Hours Post-Operation	Weill Medical College of Cornell University|Mallinckrodt	All	18 Years to 99 Years   (Adult, Older Adult)	Phase 4	16	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention	1204012295	June 2013	February 2015	July 2015	February 4, 2013	May 11, 2017	May 11, 2017	Weill Cornell Medical College, New York City, New York, United States		https://ClinicalTrials.gov/show/NCT01783236
258	NCT02243735	Trial Comparing Ferric(III)Carboxymaltose Infusion With Oral Iron Suppletion as Treatment of Anaemia	FIT	Recruiting	No Results Available	Anemia|Colorectal Carcinoma|Surgery	Drug: Ferrous fumarate|Drug: ferric(III)carboxymaltose	Normalization of Hb-level.|Difference in Morbidity score	Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)|Vifor Pharma	All	18 Years and older   (Adult, Older Adult)	Phase 4	198	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NL50013.018.14|2014-002827-87	November 2014	November 2019	December 2019	September 18, 2014		August 28, 2018	Medisch Centrum Alkmaar, Alkmaar, Netherlands|Flevoziekenhuis, Almere, Netherlands|Meander Ziekenhuis, Amersfoort, Netherlands|Academic Medical Center, Amsterdam, Netherlands|Onze Lieve Vrouwe Gasthuis, Amsterdam, Netherlands|Sint Lucas Andreas Ziekenhuis, Amsterdam, Netherlands|Spaarne ziekenhuis, Amsterdam, Netherlands|VU medical center, Amsterdam, Netherlands|Amsterdam, Netherlands|Gelre Ziekenhuis, Apeldoorn, Netherlands|Albert Schweizer Ziekenhuis, Dordrecht, Netherlands|Tergooi ziekenhuis, Hilversum, Netherlands|Haga Ziekenhuis, The Hague, Netherlands		https://ClinicalTrials.gov/show/NCT02243735
259	NCT03340506	Dabrafenib and/or Trametinib Rollover Study		Recruiting	No Results Available	Melanoma|Non Small Cell Lung Cancer|Solid Tumor|Rare Cancers|High Grade Glioma	Drug: dabrafenib|Drug: trametinib	Occurences of adverse events to evaluate long term safety and tolerability of dabrafenib, trametinib or combination|Clinical Benefit Assessment by investigator	Novartis Pharmaceuticals|Novartis	All	Child, Adult, Older Adult	Phase 4	100	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CDRB436X2X02B	December 28, 2017	July 17, 2023	July 17, 2023	November 13, 2017		July 9, 2019	Honor Health Research Institute, Scottsdale, Arizona, United States|James Cancer Hospital and Solove Research Institute Ohio State, Columbus, Ohio, United States|Mary Crowley Cancer Research, Dallas, Texas, United States|Novartis Investigative Site, Buenos Aires, Argentina|Novartis Investigative Site, Paris, France|Novartis Investigative Site, Budapest, Hungary|Novartis Investigative Site, Barcelona, Catalunya, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Madrid, Spain		https://ClinicalTrials.gov/show/NCT03340506
260	NCT03451071	Postpartum HPV Vaccination		Recruiting	No Results Available	HPV-Related Malignancy	Drug: Gardasil9	Patient indication of willingness to accept the vaccine based on survey|Uptake of the vaccine doses|serum titers of vaccine-specific HPV types	University of Alabama at Birmingham|Merck Sharp & Dohme Corp.	Female	16 Years to 26 Years   (Child, Adult)	Phase 4	100	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	000518236	April 29, 2019	December 1, 2019	June 30, 2020	March 1, 2018		July 8, 2019	University of Alabama at Birmingham, Birmingham, Alabama, United States		https://ClinicalTrials.gov/show/NCT03451071
261	NCT02911961	APAP-CYS Protein Adduct Concentrations in Patients With Liver-Directed Therapy Intended to Treat Hepatic Tumors		Recruiting	No Results Available	Acetaminophen Exposure	Drug: Acetaminophen	APAP-CYS Concentrations Over Time - Acetaminophen Group|APAP-CYS Concentrations Over Time - Non-Acetaminophen Group|Relationship between APAP-CYS and other biochemical markers of liver function	Denver Health and Hospital Authority|Johnson & Johnson Consumer Inc., McNeil Consumer Healthcare Division|University of Colorado, Denver|Rocky Mountain Poison and Drug Center	All	21 Years to 80 Years   (Adult, Older Adult)	Phase 4	30	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening	16-0031	August 2019	June 2020	September 2020	September 23, 2016		August 1, 2019	University of Colorado Denver, Denver, Colorado, United States		https://ClinicalTrials.gov/show/NCT02911961
262	NCT03142542	The Efficacy and Safety of Udenafil in Patients With Erectile Dysfunction After Bilateral Nerve-sparing Radical Prostatectomy	DA8159_EDP_IIT	Not yet recruiting	No Results Available	Prostate Cancer With Radical Prostatectomy	Drug: ZYDENA TAB.75mg(Udenafil 75mg)|Drug: Placebo Oral Tablet	The proportion of patients who has IIEF-EF score ≥22|Safety evaulation: Occurrence of any adverse events|Safety evaluation: Systolic and diastolic blood pressure|Safety evaluation: 12-lead ECG|Safety evaluation: Number of Participants With Abnormal Laboratory Values|Safety evaluation:pulse rate	Samsung Medical Center|Dong-A ST Co., Ltd.	Male	20 Years to 70 Years   (Adult, Older Adult)	Phase 4	99	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	2017-02-112	May 2017	May 2019	December 2019	May 5, 2017		May 5, 2017			https://ClinicalTrials.gov/show/NCT03142542
263	NCT00616135	Study of Autologous Fat Enhanced w/ Regenerative Cells Transplanted to Reconstruct Breast Deformities After Lumpectomy	RESTORE-2	Completed	No Results Available	Breast Neoplasms|Carcinoma, Ductal, Breast|Mammaplasty|Mastectomy, Segmental, Lumpectomy, Breast Reconstruction,	Procedure: ADRC-Enhanced Autologous Fat Transplant	Patient and physician satisfaction with functional and cosmetic results. Improvement in overall breast deformity measured at 12 months compared to baseline.|Change in breast volume and shape at 6 and 12 Months compared to baseline. Improvement in skin pigmentation abnormalities at 6 and 12 months compared to Baseline. Improvement in overall breast deformity at 6 Months compared to Baseline.	Cytori Therapeutics	Female	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	71	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	RESTORE-2	June 2008	November 2010	November 2010	February 15, 2008		May 17, 2011	Jules Bordet Institute of Cancer, Brussels, Belgium|Università degli Studi di Firenze, Florence, Italy|Hospital General Universitario Gregorio Marañon, Madrid, Spain|Instituto Valenciano Oncologia, Valencia, Spain|Glasgow Royal Infirmary, Glasgow, Scotland, United Kingdom		https://ClinicalTrials.gov/show/NCT00616135
264	NCT02532634	Ramosetron, Aprepitant, and Dexamethasone Versus Palonosetron, Aprepitant, and Dexamethasone	RAPA	Completed	No Results Available	Cancer|Tumors	Drug: ramosetron, aprepitant, dexamethasone|Drug: palonosetron, aprepitant, dexamethasone	To compare the overall complete response (CR) of RAD to PAD (Overall CR defined as no emesis, no rescue medication, at cycle 1	Kangdong Sacred Heart Hospital|The Catholic University of Korea|Astellas Pharma Korea, Inc.	All	19 Years and older   (Adult, Older Adult)	Phase 4	292	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care	KJH-2015-01	August 19, 2015	May 8, 2018	May 8, 2018	August 26, 2015		May 10, 2018	St. Vincent`S Hospital, Suwon, Gyeonggi, Korea, Republic of|Keimyung University Dongsan Medical Center, Daegu, Korea, Republic of|Chungnam National University Hospita, Daejeon, Korea, Republic of|Pusan National University Hospital, Pusan, Korea, Republic of|Kangbuk Samsung Hospital, Seoul, Korea, Republic of|Kangdong Sacred Heart Hospital, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Seoul St. Mary's Hospital, Seoul, Korea, Republic of|Severance Hospital, Seoul, Korea, Republic of|Ajou University Hospital, Suwon, Korea, Republic of		https://ClinicalTrials.gov/show/NCT02532634
