cleaned_up_drug,class_drug_info,class_umls
exatecan,"Antineoplastic Agents|Antineoplastic Agents, Phytogenic|Enzyme Inhibitors|Topoisomerase I Inhibitors|Topoisomerase Inhibitors",
GSK2820151,,
CHR-3996,,
MEDI5395,,
TLR9,,
SD-101,,
Rexin-G,,
INCB081776,,
ATI-1123,,
ME-143,,
Intraperitoneal,,
'SMT-NK,,
allogeneic,,
RAF265,,
NeoTCR-P1,,
BAY86-9766+Gemcitabine,,
CV787,,
CG7870,,
intravenous,,
intraperitoneal,,
GPX-100,,
volasertib,,
G1T48,,
CM4307,,
AG-013726,,
INCSHR01210,,
Ricolinostat,,
MORAb-009,,
SEA-CD40,,
AZD4877,,
TP-3654,,
ixabepilone,Antineoplastic|Antineoplastic Agents,
salmonella,,
VNP20009,,
Gemcitabine-Releasing,,
GemRIS,,
/TAR-200,,
split-dose,,
SNS-314,,
MK-1248,,
AMG479,,
DJ-927,,
Vismodegib,Antineoplastic Agents,
TG6002,,
Flucytosine,Antifungal Agents|Antimetabolites|Drug / Therapeutic Agent|Human Data|Mutation Data|Anti-Infective Agents|Noxae,
5-FC,Antifungal Agents|Antimetabolites|Drug / Therapeutic Agent|Human Data|Mutation Data|Anti-Infective Agents|Noxae,
Ancotil,Antifungal Agents|Antimetabolites|Drug / Therapeutic Agent|Human Data|Mutation Data|Anti-Infective Agents|Noxae,
G3139,"Antineoplastic Agents|Molecular Probes|Oligodeoxyribonucleotides, Antisense|Oligonucleotides, Antisense",
Oblimersen,"Antineoplastic Agents|Molecular Probes|Oligodeoxyribonucleotides, Antisense|Oligonucleotides, Antisense",
Bcl-2,,
antisense,,
oligonucleotide,,
AVB-S6-500,,
Inoculation,,
CPI-1205,Enzyme Inhibitors,
Abiraterone/Prednisone,,
CR011-vcMMAE,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Dabrafenib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
KN035,,
TLC178,,
BAY1834942,,
Gemfibrozil,Drug / Therapeutic Agent|Human Data|Reproductive Effect|Tumor Data|Antimetabolites|Hypolipidemic Agents|Lipid Regulating Agents|Cytochrome P-450 CYP2C8 Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Enzyme Inhibitors|Metabolic Side Effects of Drugs and Substances,
CDX-0158,,
KTN-0158,,
APX3330,,
haNK,,
cefixime,Drug / Therapeutic Agent|Anti-Bacterial Agents|Anti-Infective Agents,
cefixime,Anti-Infective Agents|Anti-Bacterial Agents,
ceftriaxone,Anti-Bacterial Agents|Anti-Infective Agents,
ciprofloxacin,Drug / Therapeutic Agent|Human Data|Mutation Data|Anti-Infective Agents|Enzyme Inhibitors|Nucleic Acid Synthesis Inhibitors|Anti-Bacterial Agents|Antineoplastic Agents|Cytochrome P-450 CYP1A2 Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors|Metabolic Side Effects of Drugs and Substances,
trimethoprim-sulfamethoxazole,"Anti-Infective Agents|Anti-Infective Agents, Urinary|Antimalarials|Drug / Therapeutic Agent|Human Data|Antiparasitic Agents|Antiprotozoal Agents|Renal Agents|Anti-Bacterial Agents",
idronoxil,,
Nilotinib,Antineoplastic|Antineoplastic Agents,
budesonide/formoterol,Anti-Asthmatic Agents|Respiratory System Agents,
budesonide/formoterol,Respiratory System Agents|Anti-Asthmatic Agents,
fumarate,,
dihydrate,,
methylation,,
genomic,,
hybridization,,
microarray,,
AT13387,,
ABT-700,,
TP-0184,,
BAY1436032,,
MSC2363318A,,
TRC102,,
Recentin,Antineoplastic Agents|Protein Kinase Inhibitors|Enzyme Inhibitors,
TAK-901,,
INCB057643,,
INCB059872,,
anti-EGFR,,
VELCADE,Antineoplastic Agents|Protease Inhibitors|Enzyme Inhibitors,
darinaparsin,,
RXDX-105,,
CT-2106,,
fluorouracil,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antineoplastic Agents|Immunologic Factors|Noxae",
IBI308,,
ALKS,,
MPC-6827,,
ABT-165,,
GSK1120212B,,
DMSO,Cryoprotective Agents|Drug / Therapeutic Agent|Free Radical Scavengers|Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Solvents|Tumor Data|Antioxidants|Protective Agents,
ME-344,,
CP-4126,,
TAS-116,,
AG-120,,
AV-203,,
AMP-224,,
Albumin-bound,,
P16_37-63,,
Montanide®,,
ISA-51,,
JNJ-63898081,,
BMS-986213,,
RBN-2397,,
calcium,Calcium-Regulating Hormones and Agents,
Dacogen,,
Vectibix®,,
ONT-10,,
Genz-644282,,
28-day,,
21-day,,
palifermin,,"Keratinocyte Growth Factor Receptor Agonists|Mucocutaneous Epithelial Cell Growth Factor|Detoxifying agents for antineoplastic treatment|HORMONES/SYNTHETICS/MODIFIERS,OTHER"
EMD525797,,
BMX-001,,
Blood-stage,,
P.vivax,,
XELODA,"Antineoplastic Agents|Antimetabolites|Antimetabolites, Antineoplastic|Noxae",
Rogaratinib,,
BAY1163877,,
venetoclax,Antineoplastic Agents,
M6620,,
Tesirine,,
Defactinib,,
MGD019,,
CT-322,,
GSK923295,,
OTSGC-A24,,
mgkg,,
43-9006,,
gimatecan,Antineoplastic,
HE3235,,
AlphaMedix,,
Regimen,,
IMP321,,
TRC253,,
CK-301,,
cosibelimab,,
ZD1839,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
panHer,,
FN-1501,,
MEDI9090,,
YS-0N-001,,
Acalabrutinib,,"Kinase Inhibitor|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER"
IT-141,,
ZW49,,
TP-1287,,
CapeOx,Antineoplastic Agents,
MDX-010,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Theliatinib,,
Neoantigen,,
CHR-2797,Enzyme Inhibitors,
tosedostat,Enzyme Inhibitors,
Rubitecan,Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase I Inhibitors|Topoisomerase Inhibitors,
Rubitecan,Antineoplastic Agents,
SHR6390,,
Anti-RANKL,,
CGX1321,,
ABTL0812,,
Alfa-2b,,
ABBV-927,,
Premetrexed,,
Alimta,"Antineoplastic Agents|Enzyme Inhibitors|Antimetabolites|Antimetabolites, Antineoplastic|Folic Acid Antagonists|Noxae|Nucleic Acid Synthesis Inhibitors",
Alimta,,
Genasense,"Antineoplastic Agents|Molecular Probes|Oligodeoxyribonucleotides, Antisense|Oligonucleotides, Antisense",
SB-743921,,
TR1801-ADC,,
Rilotumumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Ponatinib,Antineoplastic Agents|Protein Kinase Inhibitors|Enzyme Inhibitors,
Aldoxorubicin,Antineoplastic Agents,
ETBX-011,,
ETBX-051,,
ETBX-061,,
GI-4000,,
GI-6207,,
GI-6301,,
haNK,,
MGCD0103,Antineoplastic Agents|Histone Deacetylase Inhibitors|Enzyme Inhibitors,
MEDI5752,,
LY2801653,,
GSK3052230,,
Intermittent,,
DSP-0337,,
CYC065,,
CA4P,,
prednisone/prednisolone,,
Verteporfin,Photosensitizing Agents|Dermatologic Agents|Radiation-Sensitizing Agents,
ABBV-428,,
SYD985,,
vc-seco-DUBA,,
Omacetaxine,,Protein Synthesis Inhibitors
MK-7684,,
ISA101/ISA101b,,
ZN-c5,,
sulfatinib,,
AZD8055,,
ARRY-382,,
cFMS,,
CV9103,,
GDC-0032,,
SM-88,,
MK-4830,,
Modufolin,,
ZW25,,
BMS-986016,,
LY3405105,,
Etanercept,"Anti-Inflammatory Agents, Non-Steroidal|Gastrointestinal Agents|Immunosuppressive Agents|Antirheumatic Agents|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Immunologic Factors|Peripheral Nervous System Agents|Sensory System Agents",
BMS-813160,,
INNO-206,Antineoplastic Agents,
DSP-0509,,
PRN1371,,
INO-3112,,
BZL101,,
MK-0482,,
IMMU-107,Treatment of Pancreatic Cancer,
hPAM4,Treatment of Pancreatic Cancer,
CPI-444,,
6R-MTHF,,
Levoleucovorin,Antidotes|Protective Agents,
GSK1363089,Antineoplastic Agents,
CMB305,,
G100,,
Metronomic,,
XL880,Antineoplastic Agents,
LY3415244,,
ICP-105,,
erbitux®,,
thioureidobutyronitrile,,
SPL-108,,
LY3200882,,
F-AraG,,
AO-176,,
aldoxorubicin,Antineoplastic Agents,
MIW815,,
Xofigo®,,
ICP-192,,
Pre-Resection,,
Post-Resection,,
TTX-030,,
AZD5363when,,
RO6874813,,
DOTAP,Fluorescent Dyes|Coloring Agents|Indicators and Reagents|Luminescent Agents,
Diphenhydramine,"Anesthetics, Local|Anti-Allergic Agents|Antiemetics|Drug / Therapeutic Agent|Histamine H1 Antagonists|Human Data|Mutation Data|Reproductive Effect|Anesthetics|Autonomic Agents|Central Nervous System Agents|Central Nervous System Depressants|Gastrointestinal Agents|Histamine Agents|Histamine Antagonists|Hypnotics and Sedatives|Neurotransmitter Agents|Peripheral Nervous System Agents|Sensory System Agents|Sleep Aids, Pharmaceutical",
SB-715992,,
Atezolizumab1200,,
Sipuleucel-T,Antineoplastic Agents,
NOV1601,,
CHC2014,,
LOAd703,,
MP0274,,
mitotic,,
subcutaneous,,
HMPL-504,,
Orteronel,,
RiMO-301,,
SC16LD6.5,,
E7389-LF,,
LZM009,,
CC-90011,,
RM-1929,,
BMS-833923,,
XL139,,
DTA-H19,,
perifosine,,
NLG802,,
NKTR-102,Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors,
prodrug,,
Emactuzumab,,
RO7009789,,
DLYE5953A,,
TAK-117,Enzyme Inhibitors,
INVAC-1,,
TH-302,Antineoplastic Agents,
MK-4280,,
Folinate,Growth Substances|Micronutrients|Vitamin B Complex|Vitamins|Antidotes|Protective Agents,
MK-4280A,,
CPI-100,,
HB002.1T,,
VT1021,,
JNJ-63723283,,
Erdafitinib,,"ANTINEOPLASTIC,OTHER"
SHR-1603,,
mesilate,,
PTX-100,,
BIBW,,
Onartuzumab,,
MetMAb,,
Oratopo,Antineoplastic Agents,
MPDL3280A,Antineoplastic Agents,
anti-programmed,,
death-ligand,,
DV281,,
Anti-PD-1,,
RO7121661,,
HL-085,,
MOXR0916,,
D07001-softgel,,
GL-ONC1,,
matuzumab,,
CS1003,,
MT110,,
BAY1082439,,
Rabeprazole,Anti-Ulcer Agents|Enzyme Inhibitors|Gastrointestinal Agents,
humanized,,
anti-OX40,,
ZSTK474,,
XmAb®23104,,
sargramostim,Immunologic Factors,
14C-Labeled,,
PS-341,Antineoplastic Agents|Protease Inhibitors|Enzyme Inhibitors,
prexasertib,,
ralimetinib,,
Dabigatran,Thrombin Inhibitor|Anticoagulants|Antithrombins|Enzyme Inhibitors|Hematologic Agents|Protease Inhibitors|Serine Proteinase Inhibitors,
etexilate,,
BAY1841788,,
ARQ197,,
OBP-801,,
WXFL10030390,,
RO5458640,,
enadenotucirev,,
LPM3480226,,
itraconazole,"Antifungal Agents|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Anti-Infective Agents|14-alpha Demethylase Inhibitors|Enzyme Inhibitors|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors|Metabolic Side Effects of Drugs and Substances",
rifampin,"Antibiotics, Antitubercular|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Leprostatic Agents|Mutation Data|Nucleic Acid Synthesis Inhibitors|Reproductive Effect|Tumor Data|Anti-Bacterial Agents|Anti-Infective Agents|Antitubercular Agents|Cytochrome P-450 CYP2B6 Inducers|Cytochrome P-450 CYP2C19 Inducers|Cytochrome P-450 CYP2C8 Inducers|Cytochrome P-450 CYP2C9 Inducers|Cytochrome P-450 CYP3A Inducers|Metabolic Side Effects of Drugs and Substances",
IPN60090,,
PS101,,
Ultra,,
Kanitinib,,
ERY974,,
Zr-BI,,
Trilaciclib,,
14C-labeled,,
poziotinib,,
IM19,,
CO-1.01,,
hPV19,,
MM-151,,
CCT301-59,,
ABBV-321,,
CS1001,,
Volasertib,,
d1q3w,,
KN046,,
LY3381916,,
Tartrate,"Adrenergic alpha-Agonists|Analgesics, Non-Narcotic|Drug / Therapeutic Agent|Human Data|Vasoconstrictor Agents|Adrenergic Agents|Adrenergic Agonists|Analgesics|Cardiovascular Agents|Central Nervous System Agents|Neurotransmitter Agents|Peripheral Nervous System Agents|Sensory System Agents|Adrenergic alpha-1 Receptor Agonists|Oxytocics|Reproductive Control Agents|Serotonin Agents|Serotonin Receptor Agonists",
biosimilar,,
BEVZ92,,
Avastin®,,
PQR309,,
Myocet,,
GDC-0919,,
HLX22,,
CX-3543,,
mg/m²,,
Hemay020,,
AGEN2034,,
BMS-906024,,
RO5045337,,
RO7198457,,
LY3127804,,
Epitinib,,
HC-1119,,
FF21101,,
BTRC4017A,,
ARRY-142886,,
AsiDNA,,
HuMax-IL8,,
RO5503781,,
cabozantinib,,"Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor"
BMS-986205,,
BGB-283,,
PF-04691502,,
PEP02,,
Amatuximab,,
CCS1477,,
LY3321367,,
CKD-810,,
Taxotere,Antineoplastic Agents|Drug / Therapeutic Agent|Antimitotic Agents|Mitosis Modulators|Tubulin Modulators,
Taxotere,Antineoplastic Agents|Tubulin Modulators|Mitosis Modulators|Antimitotic Agents,
Taxotere®,,
Hospira,,
TL32711,,
"5,10-methylenetetrahydrofolate",,
HC1119,,
BMS-907351,,
Lucitanib,,
PF-03732010,,
IL-2,"Analgesics|Analgesics, Non-Narcotic|Antineoplastic Agents|Central Nervous System Agents|Peripheral Nervous System Agents|Sensory System Agents",
IL-2,Anti-HIV Agents|Antineoplastic Agents|Drug / Therapeutic Agent|Anti-Infective Agents|Anti-Retroviral Agents|Antiviral Agents,
ASP4132,,
MEDI-522,,
GS-1423,,
RO6895882,,
MK-7162,,
Ispinesib,,
OKI-179,,
KITE-718,,
U3-1287,,
TAK-285,,
TECENTRIQ,Antineoplastic Agents,
Vanucizumab,,
SBP-101,,
BAY79-4620,,
CEP-11981,,
NPC-1C/NEO-102,,
Vx-006,,
CA-170,,
mg/d,,
Co-ArgI-PEG,,
IMC-18F1,,
Refametinib,,
BAY86-9766,,
RC48-ADC,,
RO5212054,,
GDC-0810,,
Hyperthermia,,
Simmitinib,,
BPI-16350,,
LHC165,,
Lovaza,,ANTILIPEMIC AGENTS
TAPA-pulsed,,
NaCl,,"ELECTROLYTES/MINERALS,COMBINATIONS|RESPIRATORY AGENTS,OTHER|Electrolyte solutions|ELECTROLYTES/MINERALS,OTHER|IV SOLUTIONS WITHOUT ELECTROLYTES|Salt solutions|EYE WASHES/LUBRICANTS|AMINO ACIDS/PROTEINS,PARENTERAL,WITH ADDED ELECTROLYTES|HYPEROSMOTIC LAXATIVES|Sodium|Acid-Base Activity|AMINO ACIDS/PROTEINS,PARENTERAL,WITHOUT ADDED ELECTROLYTES|NASAL AND THROAT,TOPICAL,OTHER|IV SOLUTIONS WITH ELECTROLYTES|DERMATOLOGICALS,TOPICAL OTHER|PHARMACEUTICAL AIDS/REAGENTS|PERITONEAL DIALYSIS SOLUTIONS|OPHTHALMICS,OTHER|LAXATIVES,OTHER|Electrolyte Activity|SODIUM|IRRIGATION SOLUTIONS"
BAY80-6964,,
BMS-986299,,
RO5429083,,
GX15-070MS,,
BI-6727,,
repotrectinib,,
TPX-0005,,
EOS100850,,
XL999,,
NMS-1286937,,
BiCAR-NK,,
ROBO1,,
CAR-NK,,
HS-410,,
XmAb®22841,,
Keytruda®,,
RO4987655,,
RG547,,
ZIO-101,,
HLX04,,
MRTX849,,
RG4733,,
RO5126766,,
GDC-0575,,
beta-glucan,,
RG1530,,
Perjeta,"Monoclonal Antibody|HER-2-Targeting Antibody|Antineoplastic Agents|Antineoplastic Agents, Immunological",
BAY1000394,,
MK-4166,,
68-Ga,,
PSMA11,,
CPI-200,,
E7389+carboplatin,,
APG-115,,
STA-4783/paclitaxel,,
PEG20,,
Roniciclib,,
Gentuximab,,
norethindrone,"Contraceptives, Oral, Synthetic|Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Contraceptive Agents|Contraceptive Agents, Female|Contraceptives, Oral|Reproductive Control Agents",
estradiol,"Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Estrogens|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists",
C-0501,,
Darinaparsin,,
HKI-272,Antineoplastic Agents,
Idasanutlin,,
MK0731,,
IC83/LY2603618,,
WX-UK1,,
SP-2577,,
Seclidemstat,,
131I-F16SIP,,
Radioimmunotherapy,,
AMG888,,
AV0113,,
DC-CIT,,
KRN951,,
"CP-870,893",,
Debio,,
abnobaVISCUM,,
Fraxini,,
Larotrectinib,,
Vitrakvi,,
BAY2757556,,
bacTRL-IL-12,,
MSB2311,,
FF-10832,,
YM155,,
hGM-CSF,,
IBI308\Cisplatinum\Pemetrexed,,
IBI308\cisplatin\gemcitabine,,
IBI308\oxaliplatin\capecitabine,,
IBI308\etoposide\cisplatin,,
IBI308\irinotecan\5-FU,,
SM88,,
alpha1H,,
Immunotherapy,,
NV1020,,
phenprocoumon,Anticoagulants|Hematologic Agents,
VAL-083,,
Dianhydrogalactitol,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Mutation Data|Alkylating Agents|Antineoplastic Agents|Noxae",
acenocoumarol,Anticoagulants|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Hematologic Agents,
PM060184,,
oleclumab,,
BGB-A317,,
SGN-CD228A,,
IBI101,,
Sintilimab,,
GAd-209-FSP,,
MVA-209-FSP,,
SHR-1702,,
Camrelizumab,,
ribociclib,Antineoplastic Agents,
EF-022,,
Macrophage,,
Activator,,
isavuconazonium,,ANTIFUNGALS
donafenib,,
tosilate,,
CC-90010,,
SOM230C,,
FF-10850,,
SH-1028,,
MP0310,,
BSI-201,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
iniparib,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
Tizanidine,"Adrenergic alpha-Agonists|Analgesics|Anticonvulsants|Drug / Therapeutic Agent|Muscle Relaxants, Central|Parasympatholytics|Adrenergic Agents|Adrenergic Agonists|Autonomic Agents|Central Nervous System Agents|Neuromuscular Agents|Neurotransmitter Agents|Peripheral Nervous System Agents|Sensory System Agents|Adrenergic alpha-2 Receptor Agonists",
177Lu-PSMA-R2,,
Pexidartinib,,
Debio1347,,
CH5183284,,
govitecan,,
BAT8003,,
Sporanox,"Antifungal Agents|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Anti-Infective Agents|14-alpha Demethylase Inhibitors|Enzyme Inhibitors|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors|Metabolic Side Effects of Drugs and Substances",
GWN323,,
omeprazol,Anti-Ulcer Agents|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Reproductive Effect|Gastrointestinal Agents|Proton Pump Inhibitors,
metoprolol,Adrenergic Agents|Adrenergic Antagonists|Anti-Arrhythmia Agents|Antihypertensive Agents|Autonomic Agents|Cardiovascular Agents|Neurotransmitter Agents|Peripheral Nervous System Agents|Sympatholytics|Adrenergic beta-1 Receptor Antagonists|Adrenergic beta-Antagonists,
IBI310,,
mPEG-r-crisantaspase,,
RO5479599,,
zirconium-89-labeled,,
HTI-1090,,
RO5083945,,
MGD009,,
MGA012,,
Oradoxel,,
RO6958688,,
Tocilizumab,,"Interleukin-6 Receptor Antagonist|Interleukin inhibitors|Interleukin 6 Receptor Antagonists|ANTIRHEUMATICS,OTHER"
Andecaliximab,,
ABT-869,,
lovaza,,ANTILIPEMIC AGENTS
ODM-208,,
NER1006,,
Moviprep,,"Vitamin C|Unknown Cellular or Molecular Interaction|HYPEROSMOTIC LAXATIVES|Other ophthalmologicals|Electrolyte Activity|Ascorbic acid (vitamin C), plain|Salt solutions|Free Radical Scavenging Activity|Enzyme Interactions|Sodium|Acid-Base Activity|Organic acids|Osmotic Laxative|Osmotically acting laxatives|Electrolyte solutions|Potassium|Osmotic Activity"
BGB-A1217,,
Tislelizumab,,
NIRFLI,,
Alkotinib,,
Gatipotuzumab,,
Tomuzotuximab,,
Nanoliposomal,,
indibulin,,
Degarelix,GnRH Antagonists|Peptides|Gonadotropin-Releasing Hormone Antagonist|Treatment of Prostate Cancer,
IM156,,
dovitinib,,
MBG453,,
AC220,,
SNS-595,,
DN1508052-01,,
C31510,,
ODM-204,,
CH5132799,,
#NAME?,,
ADCT-601,,
Imprime,,
Isatuximab,,
HLX20,,
alfa-2b,,
PEG-interferon,,
alfa-2a,,
PEP503,,
GLS-010,,
HTI-1066,,
LY573636-sodium,,
HMPL-013,,
IMO-2055,,
68Ga-PSMA-R2,,
N-803,,
BMS-986301,,
BIBW2992,Antineoplastic Agents|Radiation-Sensitizing Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
Tazemetostat,,
ABI-009,,
Cergutuzumab,,
Amunaleukin,,
AUC6,,
GDC-0068,,
paclitaxel-albumin,,
XNW7201,,
Pevonedistat,Enzyme Inhibitors,
CS3006,,
TAK-593,,
CPX-POM,,
Carboplatin/Paclitaxel/MEDI-575,,
Carboplatin/Paclitaxel,,
KA2507,,
E7016,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
E7016,,
Motexafin,,
BIIB015,,
fruquintinib+paclitaxel,,
MK-1308,,
BC-819,,
DMXAA,Antineoplastic Agents,
WNT974,Enzyme Inhibitors,
Epothilone,,
KOS-862,Antimitotic Agents|Mitosis Modulators|Tubulin Modulators,
Bacille,,
Calmette-Guérin,,
AGEN1884,,
SM08502,,
LXI-15029,,
LXI-15029+Exemestane,,
CG200745,,
Lipegfilgrastim,,Colony stimulating factors
Plitidepsin,,
X-396,,
ensartinib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
NYESO-1c259,,
rhuMAb,,
GDC-0917,,
CDX-1401,,
Resiquimod,Antiviral|Treatment of Genital Herpes,
Poly-ICLC,Interferon Inducers|Immunologic Factors,
retinoic,,
ATRA,Antineoplastic Agents|Drug / Therapeutic Agent|Keratolytic Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Dermatologic Agents,
DZD9008,,
AG-270,,
3-week,,
DKY709,,
BiCAR-NK/T,,
CAR-NK/T,,
hexaminolevulinate,,
BCG+ALT-803,,
Ga-68,,
PET/CT,,
V3-P,,
GDC-0623,,
MK-4621/JetPEI,,
ABT-806,,
PSMA-CART,,
TAK-931,,
Esomeprazole,Anti-Ulcer Agents|Enzyme Inhibitors|Gastrointestinal Agents|Proton Pump Inhibitors,
warfarin,Agricultural Chemical|Anticoagulants|Human Data|Reproductive Effect|Rodenticide|Rodenticides|Hematologic Agents|Pesticides,
cabazitaxel,,
AS1411,,
dasatinib,Antineoplastic|Enzyme Inhibitors|Protein Kinase Inhibitors,
dasatinib,Protein Kinase Inhibitors|Enzyme Inhibitors|Antineoplastic Agents,
PLX038,,
BMS-663513,,
MDX-1106,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
MEN1309,,
TNO155,,
TAS-114,,
S-3304,Enzyme Inhibitors|Matrix Metalloproteinase Inhibitors|Protease Inhibitors,
XmAb20717,,
Andes-1537,,
JNJ-64457107,,
MT-5111,,
Velcade,Antineoplastic Agents|Protease Inhibitors|Enzyme Inhibitors,
MINT1526A,,
ZIO-201-T,,
nab-rapamycin,,
OPB-31121,,
PLX9486,,
Cytokine-induced,,
Mycograb,,
YE-NEO-001,,
CP-4055,,
linifanib,,
Apitolisib,,
Prednisolone,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Adrenal Cortex Hormones|Anti-Inflammatory Agents|Antineoplastic Agents|Glucocorticoids|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists",
ONCOS-102,,
Osteodex,,
MK-1775,Enzyme Inhibitors,
Tanespimycin,,
SCH66336,Enzyme Inhibitors,
CX-188,,
PF-03814735,,
DOXIL,"Antineoplastic Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antibiotics, Antineoplastic|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
DOXIL,Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data,
OBI-888,,
BCD-135,,
Ad-E6E7,,
MG1-E6E7,,
IGF-Methotrexate,,
SAR439459,,
pentamidine,Antifungal Agents|Antiprotozoal Agents|Drug / Therapeutic Agent|Human Data|Trypanocidal Agents|Anti-Infective Agents|Antiparasitic Agents,
MK0683,Antitumor Agent|Histone Deacetylase Inhibitor|Antineoplastic Agents|Enzyme Inhibitors|Anticarcinogenic Agents|Histone Deacetylase Inhibitors,
BIIB021,,
BIIB0121,,
TAK-981,,
DCVac/PCa,,
BMS-986012,,
LiPlaCis,Antineoplastic Agents|Cross-Linking Reagents|Drug / Therapeutic Agent|Human Data|Mutation Data|Radiation-Sensitizing Agents|Reproductive Effect|Tumor Data|Indicators and Reagents,
RO6870810,,
Atu027,,
AZD0156,,
T-1101,Drug / Therapeutic Agent,
Tosylate,,
Rosiglitazone,Hypoglycemic Agents,
Norethindrone/ethinyl,,
PLX8394,,
Fluconazole,"Antifungal Agents|Drug / Therapeutic Agent|Human Data|Anti-Infective Agents|14-alpha Demethylase Inhibitors|Enzyme Inhibitors|Cytochrome P-450 CYP2C19 Inhibitors|Cytochrome P-450 CYP2C9 Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors|Metabolic Side Effects of Drugs and Substances",
IRX4204,,
vandetanib,Antineoplastic,
SAR240550,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
Nimotuzumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
TheraCIM,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
h-R3,Drug / Therapeutic Agent,
h-R3,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
HSV-TK,,
romidepsin,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Natural Product|Antineoplastic Agents",
Claudiximab,,
NPC-1C,,
REGN5678,,
Pentamidine,Antifungal Agents|Antiprotozoal Agents|Drug / Therapeutic Agent|Human Data|Trypanocidal Agents|Anti-Infective Agents|Antiparasitic Agents,
TRQ15-01,,
NHS-IL12,,
VERU-111,,
HM781-36B,,
Endostar,Antiangiogenic Drug|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors|Growth Substances,
Centrum,,
BMS-908662,,
BIIB028,,
HyperAcute-Prostate,,
TJ011133,,
AZD1390,,
TAK-701,,
LB-100,,
OXALIPLATIN,Drug / Therapeutic Agent|Antineoplastic|Antineoplastic Agents,
OXALIPLATIN,Antineoplastic Agents,
ABT-806i,,
HGS1029,,
Paclitaxel+HM30181,,
4SC-205,,
APG-2449,,
ABT-348,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
RO5509554,,
L-malate,,
BVAC-C,,
NC-4016,,
