NCT01253213	BR55
NCT02301754	INVAC-1
NCT00678977	Pazopanib
NCT00678977	GW786034
NCT00678977	Gemcitabine
NCT00678977	Cisplatin
NCT02076230	TH-302
NCT02076230	TH-302
NCT02076230	TH-302
NCT00619424	pazopanib
NCT00619424	erlotinib
NCT00619424	pemetrexed
NCT00697632	MGCD265
NCT02720068	MK-4280
NCT02720068	Pembrolizumab
NCT02720068	Oxaliplatin
NCT02720068	Irinotecan
NCT02720068	Leucovorin
NCT02720068	Calcium
NCT02720068	Folinate
NCT02720068	Fluorouracil
NCT02720068	5-FU
NCT02720068	MK-4280A
NCT03781362	CPI-100
NCT03636750	HB002.1T
NCT00472368	LBH589
NCT03364400	VT1021
NCT03547037	JNJ-63723283
NCT03547037	Erdafitinib
NCT02592785	BAY1163877
NCT03722186	SHR-1603
NCT00417807	Imatinib
NCT00417807	mesilate
NCT03900442	PTX-100
NCT01169675	BIBW
NCT01169675	pemetrexed
NCT01169675	BIBW
NCT02031731	mg/kg
NCT02031731	Onartuzumab
NCT02031731	MetMAb
NCT02031731	mg/kg
NCT02031731	Onartuzumab
NCT02031731	MetMAb
NCT02031731	mg/kg
NCT02031731	Onartuzumab
NCT02031731	MetMAb
NCT02705482	MEDI0562
NCT02705482	Tremelimumab
NCT02705482	Durvalumab
NCT03987685	Oratopo
NCT03280563	Atezolizumab
NCT03280563	MPDL3280A
NCT03280563	anti-programmed
NCT03280563	death-ligand
NCT03280563	PD-L1
NCT03280563	antibody
NCT03280563	Bevacizumab
NCT03280563	Entinostat
NCT03280563	Exemestane
NCT03280563	Fulvestrant
NCT03280563	Ipatasertib
NCT03280563	Tamoxifen
NCT03280563	Abemaciclib
NCT03326752	DV281
NCT03326752	DV281
NCT03326752	RP2D
NCT03326752	Anti-PD-1
NCT03326752	Inhibitor
NCT02211872	intravenous
NCT04035473	Oraxol
NCT03375983	Blood-stage
NCT03375983	P.vivax
NCT01938612	MEDI4736
NCT01938612	tremelimumab
NCT03708328	RO7121661
NCT00374868	pemetrexed
NCT00374868	cisplatin
NCT03781219	HL-085
NCT03781219	Vemurafenib
NCT00207090	ixabepilone
NCT00207090	Rifampin
NCT01946789	ALT-803
NCT01673438	aldoxorubicin
NCT02219724	MOXR0916
NCT03531320	D07001-softgel
NCT01584284	GL-ONC1
NCT01706835	aldoxorubicin
NCT03588039	Oraxol
NCT03588039	Pembrolizumab
NCT00113581	matuzumab
NCT03475251	CS1003
NCT00635596	MT110
NCT01728311	BAY1082439
NCT01954043	Dabrafenib
NCT01954043	Rabeprazole
NCT01954043	Rifampin
NCT02410512	Atezolizumab
NCT02410512	MPDL3280A
NCT02410512	anti-programmed
NCT02410512	death-ligand
NCT02410512	PD-L1
NCT02410512	antibody
NCT02410512	MOXR0916
NCT02410512	humanized
NCT02410512	anti-OX40
NCT02410512	antibody
NCT01682473	ZSTK474
NCT03752398	XmAb®23104
NCT01986166	Cobimetinib
NCT01986166	MEHD7945A
NCT00516451	BMS-690514
NCT02250014	sargramostim
NCT02441465	Vemurafenib
NCT02441465	14C-Labeled
NCT02441465	Vemurafenib
NCT00059618	PS-341
NCT00059618	Bortezomib
NCT00059618	Carboplatin
NCT02860780	prexasertib
NCT02860780	ralimetinib
NCT03237416	Dabigatran
NCT03237416	etexilate
NCT03237416	Midazolam
NCT03237416	BAY1841788
NCT03237416	darolutamide
NCT00609921	ARQ197
NCT02414516	OBP-801
NCT03730142	WXFL10030390
NCT00318643	Mitomycin
NCT00318643	Chemophase
NCT01495247	BEZ235
NCT01495247	Paclitaxel
NCT01383733	RO5458640
NCT00977210	OXi4503
NCT02636036	enadenotucirev
NCT02636036	nivolumab
NCT00154089	EM-1421
NCT03844438	LPM3480226
NCT03994211	pamiparib
NCT03994211	pamiparib
NCT03994211	pamiparib
NCT03994211	itraconazole
NCT03994211	rifampin
NCT03894540	IPN60090
NCT03894540	pembrolizumab
NCT03894540	paclitaxel
NCT04021277	PS101
NCT04021277	Ultra
NCT04021277	escalation
NCT04021277	PS101
NCT04021277	Ultra
NCT00046111	topotecan
NCT02916095	Kanitinib
NCT00874042	gemcitabine
NCT02748837	ERY974
NCT03780725	Zr-BI
NCT02499770	Carboplatin
NCT02499770	Trilaciclib
NCT02499770	Etoposide
NCT03804515	14C-labeled
NCT03804515	poziotinib
NCT01290354	Lapatinib
NCT01290354	lapatinib
NCT00169520	docetaxel
NCT00169520	SB-715992
NCT03344705	IM19
NCT03344705	CAR-T
NCT03344705	Fludarabine
NCT03344705	Cyclophosphamide
NCT02825940	Atezolizumab
NCT02825940	Gemcitabine
NCT02825940	Cisplatin
NCT01392976	CO-1.01
NCT01392976	mg/mL
NCT01392976	CO-1.01
NCT01392976	mg/mL
NCT02617277	AZD1775
NCT02617277	MEDI4736
NCT03503604	hPV19
NCT03503604	5-Fluorouracil
NCT03503604	Oxaliplatin
NCT03503604	Leucovorin
NCT03503604	Paclitaxel
NCT03503604	Carboplatin
NCT03503604	Gemcitabine
NCT03503604	Irinotecan
NCT01520389	MM-151
NCT01520389	MM-151
NCT01520389	irinotecan
NCT01458067	GSK2636771
NCT03960060	CCT301-59
NCT03234712	ABBV-321
NCT01789099	peptide
NCT01789099	vaccine
NCT01789099	GM-CSF
NCT03312842	CS1001
NCT01633970	5-FU
NCT01633970	Atezolizumab
NCT01633970	Bevacizumab
NCT01633970	Carboplatin
NCT01633970	Leucovorin
NCT01633970	Nab-paclitaxel
NCT01633970	Oxaliplatin
NCT01633970	Paclitaxel
NCT01633970	Pemetrexed
NCT00881569	CS-7017
NCT01712217	AT13387
NCT01712217	Crizotinib
NCT01682135	Ramucirumab
NCT01348347	Volasertib
NCT01348347	d1q3w
NCT01348347	Volasertib
NCT01348347	d1q3w
NCT01348347	Volasertib
NCT01348347	d1q3w
NCT03872791	KN046
NCT03872791	Nab-paclitaxel
NCT03343613	LY3381916
NCT03343613	LY3300054
NCT00432562	Vinorelbine
NCT00432562	Tartrate
NCT02069704	Bevacizumab
NCT02069704	biosimilar
NCT02069704	BEVZ92
NCT02069704	Avastin®
NCT02069704	bevacizumab
NCT01111825	Temsirolimus
NCT01111825	Neratinib
NCT01280487	ZSTK474
NCT02723877	PQR309
NCT02723877	Eribulin
NCT00898716	BMS-754807
NCT02015676	trastuzumab
NCT02015676	paclitaxel
NCT02015676	Myocet
NCT02048709	GDC-0919
NCT01147965	Vaccine
NCT03916094	HLX22
NCT01772563	volasertib
NCT01772563	itraconazole
NCT00373490	Vorinostat
NCT00955786	CX-3543
NCT00906698	BIBW
NCT00906698	Vinorelbine
NCT00906698	mg/m²
NCT00906698	Vinorelbine
NCT00906698	mg/m²
NCT00906698	Vinorelbine
NCT00906698	mg/m²
NCT02467569	Hemay020
NCT03104699	AGEN2034
NCT01292655	BMS-906024
NCT02734004	Olaparib
NCT02734004	MEDI4736
NCT02734004	Bevacizumab
NCT01164033	RO5045337
NCT03289962	RO7198457
NCT03289962	Atezolizumab
NCT02597036	LY3127804
NCT02597036	Ramucirumab
NCT02597036	Paclitaxel
NCT00827177	sorafenib
NCT02590952	Epitinib
NCT01026402	AZD2014
NCT03774056	HC-1119
NCT03983928	TQB2450
NCT03983928	Anlotinib
NCT02454010	FF21101
NCT03448042	BTRC4017A
NCT00085787	ARRY-142886
NCT00085787	inhibitor
NCT01411410	Paclitaxel
NCT01411410	Copanlisib
NCT01411410	BAY80-6946
NCT03579628	AsiDNA
NCT01767623	Vemurafenib
NCT02536469	HuMax-IL8
NCT01462175	RO5503781
NCT01553656	cabozantinib
NCT01553656	cabozantinib
NCT02890511	Paclitaxel
NCT03192943	BMS-986205
NCT03192943	Nivolumab
NCT03641586	BGB-283
NCT01773434	MORAb-004
NCT02160106	TEW-7197
NCT00927823	PF-04691502
NCT02884128	PEP02
NCT02884128	5-FU
NCT00694356	Dalotuzumab
NCT01521325	Amatuximab
NCT03568656	CCS1477
NCT03568656	Enzalutamide
NCT03099109	LY3321367
NCT03099109	LY3300054
NCT00694083	Ridaforolimus
NCT01332721	TRC105
NCT01332721	Bevacizumab
NCT01019941	CKD-810
NCT01019941	Taxotere
NCT01214616	vinorelbine
NCT01938846	exemestane
NCT01938846	paclitaxel
NCT01268163	Taxotere®
NCT01268163	Taxotere®
NCT01268163	Hospira
NCT01268163	Docetaxel
NCT03118817	HM95573
NCT00993239	Birinapant
NCT00993239	TL32711
NCT00325494	MORAb-009
NCT01397305	5,10-methylenetetrahydrofolate
NCT01397305	Pemetrexed
NCT03778047	Enzalutamide
NCT03778047	HC1119
NCT01018745	BMS-907351
NCT01018745	XL184
NCT01358019	LY2523355
NCT04042116	Lucitanib
NCT04042116	Nivolumab
NCT00557505	PF-03732010
NCT02118285	Fludarabine
NCT02118285	Cyclophosphamide
NCT02118285	IL-2
NCT02118285	INCB024360
NCT02383368	ASP4132
NCT01210846	tivozanib
NCT00263783	MEDI-522
NCT03954704	GS-1423
NCT02004106	RO6895882
NCT03364049	MK-7162
NCT03364049	Pembrolizumab
NCT00119171	Ispinesib
NCT00119171	Capecitabine
NCT02721589	SHR-1210
NCT03931681	OKI-179
NCT03139370	KITE-718
NCT03139370	Cyclophosphamide
NCT03139370	Fludarabine
NCT00129571	XL820
NCT01211483	U3-1287
NCT01211483	Erlotinib
NCT00535522	TAK-285
NCT00535522	Escalation
NCT00535522	TAK-285
NCT01688206	Atezolizumab
NCT01688206	TECENTRIQ
NCT01688206	Vanucizumab
NCT03412799	SBP-101
NCT03412799	nab-paclitaxel
NCT03412799	Gemcitabine
NCT01028755	BAY79-4620
NCT02054806	Pembrolizumab
NCT00875264	CEP-11981
NCT00875264	inhibitor
NCT01258348	Sunitinib
NCT01040000	NPC-1C/NEO-102
NCT01653470	Paclitaxel
NCT01653470	5-Fluorouracil
NCT01653470	Carboplatin
NCT01653470	Leucovorin
NCT01653470	Irinotecan
NCT01653470	BMS-906024
NCT02274610	Docetaxel-PNP
NCT02289196	Vx-006
NCT02289196	Vx-006
NCT02289196	Vx-006
NCT02289196	Vx-006
NCT02812875	CA-170
NCT00422097	Ixabepilone
NCT00422097	mg/d
NCT00422097	Ixabepilone
NCT00422097	mg/d
NCT00422097	Ixabepilone
NCT00422097	mg/d
NCT00422097	Ixabepilone
NCT00422097	mg/d
NCT00422097	Ixabepilone
NCT00422097	mg/d
NCT00422097	Ixabepilone
NCT00422097	mg/d
NCT00422097	Ixabepilone
NCT00422097	famotidine
NCT00422097	Ixabepilone
NCT02428036	TBI-1401
NCT02428036	HF10
NCT00251433	lapatinib
NCT00251433	docetaxel
NCT00251433	trastuzumab
NCT00251433	Docetaxel
NCT00251433	trastuzumab
NCT03989115	RMC-4630
NCT03989115	Cobimetinib
NCT02561234	Co-ArgI-PEG
NCT01339104	Regorafenib
NCT01339104	Stivarga
NCT01339104	BAY73-4506
NCT00782002	IMC-18F1
NCT01392521	Copanlisib
NCT01392521	Refametinib
NCT01392521	BAY86-9766
NCT01636479	SAR405838
NCT00400361	RG1507
NCT00526045	AUY922
NCT02881190	RC48-ADC
NCT01143753	RO5212054
NCT03607955	AVB-S6-500
NCT03607955	Paclitaxel
NCT03607955	Carboplatin
NCT01823835	GDC-0810
NCT01823835	LHRH
NCT01823835	Palbociclib
NCT00826085	ThermoDox
NCT00826085	Hyperthermia
NCT04058587	Simmitinib
NCT02559492	Itacitinib
NCT02559492	Epacadostat
NCT02559492	INCB050465
NCT03243643	HS-10241
NCT03243643	Apatinib
NCT00750425	cediranib
NCT00750425	RECENTIN
NCT00750425	AZD2171
NCT03791112	BPI-16350
NCT03301896	LHC165
NCT03301896	PDR001
NCT03175666	avelumab
NCT03175666	bevacizumab
NCT03175666	capecitabine
NCT03175666	cisplatin
NCT03175666	cyclophosphamide
NCT03175666	5-Fluorouracil
NCT03175666	Leucovorin
NCT03175666	nab-paclitaxel
NCT03175666	Lovaza
NCT03175666	ALT-803
NCT03175666	ETBX-011
NCT03175666	ETBX-051
NCT03175666	ETBX-061
NCT03175666	GI-4000
NCT03175666	GI-6207
NCT03175666	GI-6301
NCT03175666	haNK
NCT01562275	Ipatasertib
NCT01562275	Cobimetinib
NCT02709993	TAPA-pulsed
NCT02709993	vaccine
NCT01460537	Gemcitabine
NCT01460537	BAY80-6946
NCT01460537	Cisplatin
NCT01460537	NaCl
NCT01460537	BAY80-6964
NCT00973076	AZD8055
NCT00207129	Ixabepilone
NCT00207129	Capecitabine
NCT02610361	BGB-283
NCT03444753	BMS-986299
NCT03444753	Nivolumab
NCT03444753	Ipilimumab
NCT01358903	RO5429083
NCT00438178	Obatoclax
NCT00438178	mesylate
NCT00438178	GX15-070MS
NCT00969761	BI-6727
NCT03093116	repotrectinib
NCT03093116	TPX-0005
NCT00148902	lapatinib
NCT00148902	docetaxel
NCT03873883	EOS100850
NCT00104117	XL999
NCT01014429	NMS-1286937
NCT03941457	BiCAR-NK
NCT03941457	ROBO1
NCT03941457	CAR-NK
NCT00880321	GSK2118436
NCT00880321	Midazolam
NCT02010203	HS-410
NCT00559533	RO5045337
NCT00099606	Dasatinib
NCT02699515	MSB0011359C
NCT03849469	XmAb®22841
NCT03849469	Pembrolizumab
NCT03849469	Keytruda®
NCT00473512	Abiraterone
NCT00473512	Dexamethasone
NCT00817518	RO4987655
NCT00400296	RG547
NCT02490475	Docetaxel
NCT00509782	ZIO-101
NCT03757936	HLX04
NCT03757936	HLX10
NCT03785249	MRTX849
NCT00532090	RG4733
NCT00773526	RO5126766
NCT01858883	itacitinib
NCT01858883	Gemcitabine
NCT01858883	nab-paclitaxel
NCT01858883	filgrastim
NCT01564251	GDC-0575
NCT01564251	Gemcitabine
NCT00533364	beta-glucan
NCT00493155	RG1530
NCT00951665	paclitaxel
NCT00951665	pertuzumab
NCT00951665	Perjeta
NCT00951665	trastuzumab
NCT00951665	emtansine
NCT00951665	Kadcyla
NCT01335256	BAY1000394
NCT02471846	Atezolizumab
NCT02471846	GDC-0919
NCT02132754	MK-4166
NCT02132754	Pembrolizumab
NCT00511849	carboplatin
NCT00511849	SU011248
NCT00511849	sunitinib
NCT00511849	paclitaxel
NCT02501096	Lenvatinib
NCT02501096	Pembrolizumab
NCT03949517	68-Ga
NCT03949517	68-Ga
NCT03949517	PSMA11
NCT02064608	AZD2014
NCT03953742	CPI-200
NCT03897283	TQB2450
NCT03897283	Anlotinib
NCT01846650	Capecitabine
NCT01846650	XELODA
NCT02657343	Ribociclib
NCT02657343	T-DM1
NCT02657343	Trastuzumab
NCT02657343	Fulvestrant
NCT00268905	E7389
NCT00268905	carboplatin
NCT00268905	E7389
NCT00268905	carboplatin
NCT00268905	E7389+carboplatin
NCT03241173	INCAGN01949
NCT03241173	Nivolumab
NCT03241173	Ipilimumab
NCT01219699	BYL719
NCT01219699	Fulvestrant
NCT02935907	APG-115
NCT00088114	STA-4783/paclitaxel
NCT01206816	BIBW
NCT02715531	5-FU
NCT02715531	Atezolizumab
NCT02715531	Bevacizumab
NCT02715531	Gemcitabine
NCT02715531	Leucovorin
NCT02715531	Nab-Paclitaxel
NCT02715531	Oxaliplatin
NCT02715531	Capecitabine
NCT02715531	Cisplatin
NCT01362374	5-FU
NCT01362374	Docetaxel
NCT01362374	Enzalutamide
NCT01362374	Ipatasertib
NCT01362374	Leucovorin
NCT01362374	Oxaliplatin
NCT01362374	Paclitaxel
NCT02250157	Oratecan
NCT03744403	CS1001
NCT03254732	PEG20
NCT03254732	Pembrolizumab
NCT01124630	CS-1008
NCT01124630	FOLFIRI
NCT00259129	Sorafenib
NCT00259129	Nexavar
NCT00259129	BAY43-9006
NCT00456833	RAD001
NCT00456833	erlotinib
NCT00560144	RG1507
NCT01188252	Roniciclib
NCT01188252	BAY1000394
NCT00940758	PEP02
NCT03431948	Nivolumab
NCT03431948	Cabiralizumab
NCT03431948	Urelumab
NCT01872923	Amphinex
NCT01872923	Bleomycin
NCT01453153	Gemcitabine
NCT01453153	PEGPH20
NCT01018966	Ixabepilone
NCT03313219	Gentuximab
NCT02705963	Trametinib
NCT02705963	norethindrone
NCT02705963	ethinyl
NCT02705963	estradiol
NCT03417921	ABTL0812
NCT03417921	Gemcitabine
NCT03417921	nab-paclitaxel
NCT02740985	AZD4635
NCT02740985	Durvalumab
NCT02740985	Enzalutamide
NCT02740985	Oleclumab
NCT02740985	Docetaxel
NCT03604679	C-0501
NCT00591396	ZIO-101
NCT00591396	Darinaparsin
NCT00398567	HKI-272
NCT00398567	trastuzumab
NCT01875705	GDC-0994
NCT03362723	Idasanutlin
NCT00104364	MK0731
NCT00415636	IC83/LY2603618
NCT00415636	pemetrexed
NCT00083525	WX-UK1
NCT00083525	Capecitabine
NCT03497429	Niraparib
NCT03895684	SP-2577
NCT03895684	Seclidemstat
NCT00997399	panobinostat
NCT00997399	LBH589
NCT01240720	131I-F16SIP
NCT01240720	Radioimmunotherapy
NCT00730470	U3-1287
NCT00730470	AMG888
NCT01988896	Atezolizumab
NCT01988896	Cobimetinib
NCT02533895	AV0113
NCT02533895	DC-CIT
NCT00970411	KRN951
NCT03976050	HL-085
NCT00607048	Paclitaxel
NCT00607048	Carboplatin
NCT00607048	CP-870,893
NCT03968653	Debio
NCT03968653	Carboplatin
NCT02007005	abnobaVISCUM
NCT02007005	Fraxini
NCT02122913	Larotrectinib
NCT02122913	Vitrakvi
NCT02122913	BAY2757556
NCT04025307	bacTRL-IL-12
NCT03463473	MSB2311
NCT03440450	FF-10832
NCT03440450	Gemcitabine
NCT03440450	Liposome
NCT01023386	YM155
NCT01617928	veliparib
NCT01617928	ABT-888
NCT01617928	carboplatin
NCT01617928	paclitaxel
NCT01935453	hGM-CSF
NCT02937116	IBI308
NCT02937116	IBI308\Cisplatinum\Pemetrexed
NCT02937116	IBI308\cisplatin\gemcitabine
NCT02937116	IBI308\oxaliplatin\capecitabine
NCT02937116	IBI308\etoposide\cisplatin
NCT02937116	IBI308\irinotecan\5-FU
NCT02796898	SM88
NCT02796898	SM88
NCT03560479	alpha1H
NCT03292536	Merestinib
NCT00140348	Immunotherapy
NCT00140348	GM-CSF
NCT00140348	vaccine
NCT00725634	AV-299
NCT00725634	AV-299
NCT00725634	erlotinib
NCT00149396	NV1020
NCT01849666	phenprocoumon
NCT01849666	vemurafenib
NCT03281681	VAL-083
NCT03281681	Dianhydrogalactitol
NCT01795586	Eribulin
NCT01795586	Carboplatin
NCT00623870	RO5045337
NCT01851824	acenocoumarol
NCT01851824	vemurafenib
NCT01299636	PM060184
NCT03736473	MEDI9447
NCT03736473	oleclumab
NCT02407990	BGB-A317
NCT00816361	MEDI-573
NCT04042480	SGN-CD228A
NCT02340208	L-DOS47
NCT03758001	IBI101
NCT03758001	Sintilimab
NCT04041310	GAd-209-FSP
NCT04041310	MVA-209-FSP
NCT04041310	GAd-209-FSP
NCT04041310	MVA-209-FSP
NCT03871855	SHR-1702
NCT03871855	Camrelizumab
NCT02836600	LY3039478
NCT00934856	Docetaxel
NCT00934856	Pertuzumab
NCT00934856	Trastuzumab
NCT00934856	emtansine
NCT02323191	Atezolizumab
NCT02323191	Emactuzumab
NCT01341457	LY2603618
NCT01341457	Gemcitabine
NCT02703571	ribociclib
NCT02703571	Trametinib
NCT02052492	EF-022
NCT02052492	Vitamin
NCT02052492	Protein
NCT02052492	Macrophage
NCT02052492	Activator
NCT03241550	isavuconazonium
NCT03241550	intravenous
NCT03241550	isavuconazonium
NCT02489214	donafenib
NCT02489214	tosilate
NCT03220347	CC-90010
NCT01434069	SOM230C
NCT01434069	FOLFIRI
NCT04047251	FF-10850
NCT04047251	Topotecan
NCT04047251	Liposome
NCT03499444	Rucaparib
NCT03618043	SH-1028
NCT04049903	MP0310
NCT00298675	BSI-201
NCT00298675	iniparib
NCT00298675	irinotecan
NCT00816400	MEDI-575
NCT01844674	Tizanidine
NCT01844674	Vemurafenib
NCT01607905	KPT-330
NCT03490838	177Lu-PSMA-R2
NCT00140374	Immunotherapy
NCT00140374	GM-CSF
NCT00140374	vaccine
NCT03158103	MEK162
NCT03158103	Pexidartinib
NCT01948297	Debio1347
NCT01948297	CH5183284
NCT03113188	CBP501
NCT03992131	Rucaparib
NCT03992131	Lucitanib
NCT03992131	Sacituzumab
NCT03992131	govitecan
NCT03884517	BAT8003
NCT02457351	Roniciclib
NCT02457351	Itraconazole
NCT02457351	Sporanox
NCT04012619	Anlotinib
NCT04012619	Hydrochloride
NCT01008475	Cetuximab
NCT01008475	Irinotecan
NCT02740270	GWN323
NCT02740270	PDR001
NCT02494596	Capecitabine
NCT00426582	Patupilone
NCT01751308	Cabazitaxel
NCT01751308	XRP6258
NCT01585623	SAR302503
NCT01585623	omeprazol
NCT01585623	metoprolol
NCT01585623	midazolam
NCT01405391	PM01183
NCT02304393	Atezolizumab
NCT02304393	Selicrelumab
NCT03545971	IBI310
NCT03545971	Sintilimab
NCT03374007	GB226
NCT01551524	mPEG-r-crisantaspase
NCT01482377	RO5479599
NCT01482377	Cetuximab
NCT01482377	Erlotinib
NCT01482377	zirconium-89-labeled
NCT01482377	RO5479599
NCT03208959	HTI-1090
NCT03330990	Entrectinib
NCT03330990	Midazolam
NCT03330990	Hydrochloride
NCT03751592	Chlorogenic
NCT00721266	RO5083945
NCT03406949	MGD009
NCT03406949	MGA012
NCT02489201	donafenib
NCT02489201	tosilate
NCT01155713	TKI258
NCT02963168	Oradoxel
NCT02324257	RO6958688
NCT02324257	Obinutuzumab
NCT02324257	Tocilizumab
NCT02210559	FG-3019
NCT02210559	Gemcitabine
NCT02210559	Nab-paclitaxel
NCT02650713	Atezolizumab
NCT02650713	RO6958688
NCT01803282	Andecaliximab
NCT01803282	Gemcitabine
NCT01803282	Nab-paclitaxel
NCT01803282	Carboplatin
NCT01803282	Pemetrexed
NCT01803282	Leucovorin
NCT01803282	Oxaliplatin
NCT01803282	5-FU
NCT01803282	Bevacizumab
NCT01803282	Irinotecan
NCT01803282	Paclitaxel
NCT00718380	ABT-869
NCT03387098	Aldoxorubicin
NCT03387098	ALT-803
NCT03387098	ETBX-011
NCT03387098	GI-4000
NCT03387098	haNK
NCT03387098	avelumab
NCT03387098	bevacizumab
NCT03387098	Capecitabine
NCT03387098	Cyclophosphamide
NCT03387098	Fluorouracil
NCT03387098	Leucovorin
NCT03387098	nab-Paclitaxel
NCT03387098	lovaza
NCT03387098	Oxaliplatin
NCT03436485	ODM-208
NCT01834742	NER1006
NCT01834742	Moviprep
NCT04047862	BGB-A1217
NCT04047862	Tislelizumab
NCT02437136	entinostat
NCT02437136	pembrolizumab
NCT03709680	Palbociclib
NCT03709680	Temozolomide
NCT03709680	Irinotecan
NCT02946021	NIRFLI
NCT03607188	Alkotinib
NCT03360734	Gatipotuzumab
NCT03360734	Tomuzotuximab
NCT01004861	PLX3397
NCT03810742	Nanoliposomal
NCT03810742	Irinotecan
NCT01605318	IMMU-130
NCT01431547	dalotuzumab
NCT01431547	ridaforolimus
NCT00591136	indibulin
NCT01385228	Pazopanib
NCT01385228	Docetaxel
NCT01385228	Prednisone
NCT01385228	Pegfilgrastim
NCT00889382	OSI-906
NCT00889382	Paclitaxel
NCT02324998	Olaparib
NCT02324998	Degarelix
NCT03272256	IM156
NCT01030055	TKI258
NCT01030055	dovitinib
NCT00454649	Axitinib
NCT00454649	Paclitaxel
NCT00454649	Carboplatin
NCT00454649	Axitinib
NCT00454649	Paclitaxel
NCT00454649	Carboplatin
NCT00454649	Axitinib
NCT00454649	Paclitaxel
NCT00454649	Carboplatin
NCT00454649	Axitinib
NCT00454649	Paclitaxel
NCT00454649	Axitinib
NCT00454649	Docetaxel
NCT00454649	Carboplatin
NCT00454649	Axitinib
NCT00454649	Docetaxel
NCT00454649	Axitinib
NCT00454649	Capecitabine
NCT00454649	Axitinib
NCT00454649	Capecitabine
NCT00454649	Axitinib
NCT00454649	Gemcitabine
NCT00454649	Cisplatin
NCT00454649	Axitinib
NCT00454649	Pemetrexed
NCT00454649	Cisplatin
NCT03920839	INCMGA00012
NCT03920839	Gemcitabine
NCT03920839	Cisplatin
NCT03920839	Pemetrexed
NCT03920839	Carboplatin
NCT03920839	Paclitaxel
NCT02608268	MBG453
NCT02608268	PDR001
NCT01049893	AC220
NCT00091585	SNS-595
NCT03934359	DN1508052-01
NCT02730481	Oraxol
NCT01357330	SAR245408
NCT01357330	XL147
NCT01357330	MSC1936369B
NCT01251562	C31510
NCT02344017	ODM-204
NCT02344017	Prednisone
NCT01222546	CH5132799
NCT03991494	-pamiparib
NCT01256268	Ridaforolimus
NCT01256268	Paclitaxel
NCT01256268	carboplatin
NCT02711956	ZEN003694
NCT02711956	Enzalutamide
NCT03700294	ADCT-601
NCT03555149	Regorafenib
NCT03555149	Atezolizumab
NCT03555149	Imprime
NCT03555149	Bevacizumab
NCT03555149	Isatuximab
NCT03555149	Selicrelumab
NCT03588650	HLX20
NCT02174172	Atezolizumab
NCT02174172	Bevacizumab
NCT02174172	Interferon
NCT02174172	alfa-2b
NCT02174172	Ipilimumab
NCT02174172	Obinutuzumab
NCT02174172	PEG-interferon
NCT02174172	alfa-2a
NCT02828930	Idasanutlin
NCT02828930	Idasanutlin
NCT02828930	Idasanutlin
NCT03133247	SHR-1316
NCT02465593	PEP503
NCT02465593	5-fluorouracil
NCT02465593	capecitabine
NCT03713905	GLS-010
NCT03398720	HTI-1066
NCT03398720	HTI-1066
NCT03398720	HTI-1066
NCT03398720	HTI-1066
NCT01214668	LY573636-sodium
NCT01214668	Liposomal
NCT01214668	Doxorubicin
NCT03251378	Fruquintinib
NCT03251378	HMPL-013
NCT00704366	AZD0530
NCT00633529	IMO-2055
NCT03490032	68Ga-PSMA-R2
NCT03387085	Aldoxorubicin
NCT03387085	N-803
NCT03387085	ETBX-011
NCT03387085	ETBX-051
NCT03387085	ETBX-061
NCT03387085	GI-4000
NCT03387085	GI-6207
NCT03387085	GI-6301
NCT03387085	haNK
NCT03387085	avelumab
NCT03387085	bevacizumab
NCT03387085	Capecitabine
NCT03387085	Cisplatin
NCT03387085	Cyclophosphamide
NCT03387085	5-Fluorouracil
NCT03387085	Leucovorin
NCT03387085	nab-Paclitaxel
NCT03472352	anticancer
NCT03472352	IC01
NCT03956680	BMS-986301
NCT03956680	Nivolumab
NCT03956680	Ipilimumab
NCT00225121	PF-00299804
NCT00809133	Paclitaxel
NCT00809133	Carboplatin
NCT00809133	BIBW2992
NCT00809133	Bevacizumab
NCT00412997	LBH589
NCT02379247	BYL719
NCT02379247	Nab-paclitaxel
NCT02601937	Tazemetostat
NCT00635284	ABI-009
NCT02350673	Atezolizumab
NCT02350673	Cergutuzumab
NCT02350673	Amunaleukin
NCT01075048	Tivantinib
NCT01075048	Cetuximab
NCT01075048	Irinotecan
NCT02862457	Epacadostat
NCT02862457	Epacadostat
NCT02862457	Epacadostat
NCT02862457	pembrolizumab
NCT02862457	Cisplatin
NCT02862457	mg/m^2
NCT02862457	Carboplatin
NCT02862457	Pemetrexed
NCT02862457	mg/m^2
NCT02862457	Paclitaxel
NCT02862457	mg/m^2
NCT02862457	Carboplatin
NCT02862457	AUC6
NCT03223779	TAS-102
NCT00489359	Pemetrexed
NCT00489359	Carboplatin
NCT00489359	Pemetrexed
NCT00489359	Carboplatin
NCT01090960	GDC-0068
NCT01168011	rigosertib
NCT00094159	SNS-595
NCT02658214	paclitaxel
NCT02658214	carboplatin
NCT02658214	carboplatin
NCT02658214	etoposide
NCT02658214	gemcitabine
NCT02658214	carboplatin
NCT02658214	nab-paclitaxel
NCT02658214	paclitaxel-albumin
NCT02658214	carboplatin
NCT02658214	oxaliplatin
NCT02658214	5-fluorouracil
NCT02658214	leucovorin
NCT02658214	calcium
NCT02658214	durvalumab
NCT02658214	tremelimumab
NCT02658214	nab-paclitaxel
NCT02658214	paclitaxel-albumin
NCT02658214	gemcitabine
NCT02658214	cisplatin
